,Unnamed: 0,GlobalID,Detection Date,Notes,Lab Status,Lab Comments,Submission Date,Latitude,Longitude,d,k,score
507,752,{34775317-F6A2-41F8-B3E7-63463C221B51},2020-05-17,Seen outside our third floor window at an apartment complex. A wasp nest has been spotted near sighting at apex of roof’s eave line.,Unverified, ,2020-05-17,47.662843,-117.188122,0.8440132125418229,0.125,0.14304051478565608
214,234,{73FF6BC4-396D-41D5-95AC-EDDC20E02DA0},2020-05-02,lol lo,Unverified, ,2020-05-03,47.67517,-117.150466,0.8481081689528557,0.0833333333333333,0.14336679763158727
1235,3227,{D42109A1-EE21-4F7D-8D02-FEF5F27DEFED},2020-08-02,My children were playing outside in their play pool. It was a hot day so the water attracted bees. Then I noticed a bee like I’ve never seen. Huge with orange and black stripes.,Unverified, ,2020-08-23,47.72464,-117.06889,0.8552947204173362,0.0,0.14470527958266377
578,865,{8A0D127E-929E-4614-8E55-4F2DCE420C42},2020-05-29,"Saw several in the last few days.  On zoomed just 3 feet away from me so I got a really good look. At first I thought it was a really big bumble bee, but it had way too much orange color in it.",Unverified, ,2020-05-29,47.675522,-117.16365,0.8462994014765132,0.0833333333333333,0.14507404679012106
297,353,{5D8B632B-F694-4EA2-B1A5-83F9D2EAD5C1},2020-05-05,"Two inches, orange colored bee on our property just now; didn’t seem scared of being near humans and approached me several times; didn’t have my phone near to take a picture",Unverified, ,2020-05-05,47.531726,-117.255978,0.8459326020633923,0.0833333333333333,0.1454202593340726
404,606,{0DAA9635-5897-47AD-8D85-2673885F0C11},2020-05-08,Inside sprinkler control outside of house,Unverified, ,2020-05-08,47.648364,-117.184539,0.845668661744956,0.0833333333333333,0.14566938582072558
385,608,{AF50BCE8-F298-438B-9A7A-A1A1DA2800AE},2020-05-08,It was in the underground sprinkler controls boxes.,Unverified, ,2020-05-08,47.648367,-117.184725,0.8456434321556937,0.0833333333333333,0.1456931993819498
2164,4396,{0DE34B7A-C87F-4B5B-BF0C-29E730AC674D},2020-10-17,"I killed this on my porch deck thinking it’s a yellow jacket.  But, it looks different.  I live 2mes southwest of Valleyford WA.",Unverified, ,2020-10-17,47.5353,-117.23995,0.8477568954408191,0.0416666666666666,0.1479090388996324
427,646,{4DD88B6C-6027-4F3F-9FB3-7A6CE74D51F9},2020-05-09,Biggest hornet I've ever seen was buzzing in my garden shed.  The picture is a little fuzzy; it looked like it was about 2 inches in size.,Unverified, ,2020-05-10,47.64321,-117.142029,0.8518130370991407,0.0,0.1481869629008593
188,251,{099A64D8-727A-4893-ACB6-15873E054236},2020-05-01,"Saw it resting on my deck railing on May 1st. Thought it was a yellow jacket queen at first because it was huge. Now that I see your pictures, I'm fairly certain it was not a queen but an Asian hornet. I truly hope I'm wrong just the same.  I have seen s",Unverified, ,2020-05-03,47.771543,-117.08108,0.8501013065045763,0.0,0.14989869349542373
96,141,{66671FAA-CA94-4B20-A049-CC49459BFC01},2020-04-19,"I saw what might be these pests yesterday and one today: a bunch of large, yellow-orange bee-like creatures - far too bright to be actual bumblebees and too fuzzy to be wasps - were flying around Ben Burr park in Spokane, WA (the way they float when flyi",Unverified, ,2020-04-20,47.612591,-117.361804,0.8248406654401205,0.2083333333333333,0.1516068080630826
1335,2450,{934BD003-5A41-4F8C-A782-1A72A1945B2F},2020-08-05,I believe I saw one at my house. It was about 2 in long and had orange and black coloring. It seemed to be elongated compared to the reg pictures. Sorry I tried to capture it but it got away.,Unverified, ,2020-08-05,47.537431,-117.281182,0.8420763563815336,0.0416666666666666,0.15342786403869896
1792,3504,{EB83D83B-FB22-4719-BDD7-5DF2F828FFDC},2020-08-29, ,Unverified, ,2020-08-29,46.032057,-118.909226,0.8464604827002646,0.0,0.15353951729973536
1160,2374,{89104880-506A-4AB1-8E83-71C7394D7076},2020-07-31,"I was on the deck with my friend and noticed an Asian Giant Hornet drop onto our hottub cover carrying a paper wasp. He then took off, hovering a foot or so above the deck, fighting with the wasp. He then seemed to have the wasp subdued as he slowly flew",Unverified, ,2020-08-03,47.60939,-117.383483,0.822214847419207,0.2083333333333333,0.15387954956273198
206,317,{5807F1BA-B8B1-4519-A55B-F3EF47F4F43C},2020-05-02,"One spotted and killed outside another inside, smashed both, no photo to include, they were HUGE",Unverified, ,2020-05-04,47.622707,-117.382564,0.8212076045863511,0.2083333333333333,0.15475135506038015
903,1625,{1CF74577-C7D8-48D4-AD42-838F315A6668},2020-07-18,"We saw The largest- long (2 inches), black, looked like too thick of a body for a wasp, I think it had tan wings- insect. It was difficult to see it's face as it first landed on my husband's head while we were driving. He shook it off and as we pulled in",Unverified,That is never fun to get stung. Hope you saught medical advice. A little good news: your county is currently Negative for Asian giant hornet.,2020-07-18,47.63703,-117.23104,0.8403374554600712,0.0416666666666666,0.15511726182640106
180,298,{D480D807-E5FF-4B96-B86D-B6FCB908390C},2020-05-01,"Found one flying around trapped inside of my barn. This hornet was huge, vividly orange and black, and had a large head and eyes. It appeared to have a fuzzy body. It was also very loud. This was unlike anything I've seen here before. I'll get a photo if",Unverified, ,2020-05-04,47.514707,-117.280477,0.8441684715526677,0.0,0.15583152844733228
201,204,{B20786E4-6394-4D39-BFC9-16E4736E747E},2020-05-02,"My friend exclaimed “ Wow, I just saw a huge bee fly under the wall of your house ! “",Unverified, ,2020-05-03,47.690709,-117.281745,0.8291491029910649,0.125,0.15667096334233832
90,126,{94CC2E4B-A9C7-4CF2-AA38-64014B6F35C4},2020-04-17,It was about 2 inches long and had a really big yellow face. Unfortunately I didn’t get a picture as he moved on pretty fast.,Unverified, ,2020-04-17,47.683201,-117.290349,0.8285940520272945,0.125,0.15717994732030044
856,1526,{482AB960-9995-42BD-8AC8-A82018E39143},2020-07-15,Large red hornet. Much larger than any other hornets I saw in the area. Was not able to take a picture before it flew away.,Unverified, ,2020-07-15,46.55764,-118.17635,0.8427381479152596,0.0,0.15726185208474042
957,1681,{EBCFAAFF-AD6C-41DC-866C-F675FECC6CEE},2020-07-20,Unfirmiliar species,Unverified, ,2020-07-20,47.64985,-117.2399,0.8380939627533632,0.0416666666666666,0.15729688665071304
1763,3434,{FB826B2E-D06E-4D52-995E-AD4183901A53},2020-08-28,Witnessed by 3 people but unable to capture it or take a picture,Unverified, ,2020-08-28,47.612532,-117.229252,0.8426061777560415,0.0,0.15739382224395848
1192,2251,{19ED6280-5BC7-49F9-958C-74A4AAC1F264},2020-08-01,"Very large orange and black bee, landed on my shirt while we were picking huckleberries. Noticable weight where it landed, sounded like a small helicopter as it flew away. In typical girl fashion, I scared it away before I could really get a good look at",Unverified, ,2020-08-02,47.891222,-117.075287,0.8423500003881474,0.0,0.15764999961185255
1727,3319,{74E943B3-EEBD-4B35-8131-F657C588B917},2020-08-25,It flew at me out of a large pine tree next to my driveway. I didn't take a picture but will watch for it and see if I can get a picture.,Unverified, ,2020-08-25,47.80239,-117.14087,0.8396776046639807,0.0,0.16032239533601933
289,371,{E7A3B111-FE4B-456A-846A-F578B5D8098B},2020-05-05,"Was in shed buzzing, I left and came back it was gone, while i was working in shed it came back trying to come in, I burn some wood to start smoking it left again...but every now and then I could hear the buzzing of its wings but never saw it again..",Unverified, ,2020-05-05,47.62846,-117.35026,0.8250483243671255,0.125,0.16043139392077807
1143,2145,{86DDBC77-0A29-42BC-8D65-D08D0C570C2F},2020-07-30, ,Unverified, ,2020-08-01,47.621681,-117.397561,0.8192862743271463,0.1666666666666666,0.1609976265523103
677,1121,{20B78BBC-06AD-47B3-B594-9EB7D6FF5686},2020-06-20,Saw it on my back porch. Wasn't able to get a photo.,Unverified, ,2020-06-20,47.628223,-117.355779,0.8243283107043324,0.125,0.16109164936072193
1570,3036,{B001C10A-3EEE-47C4-870F-246B652FBD2A},2020-08-18,I found this very large wasp in my pool and backyard I preserve it in a glass jar with alcohol addiction pictures today.,Unverified, ,2020-08-18,47.694862,-117.281912,0.8287939480037573,0.0833333333333333,0.16159699465489988
169,173,{D89B500B-0A7E-4F45-8F0C-E34CC48125F4},2020-05-01,"There was a large waspin my garage yesterday, and was easily the biggest one i had ever seen. It was about 2 inches long, mostly black, it was dark in my garage so i did not see much orange. We opened the door to let it out and it flew West. It could hav",Unverified, ,2020-05-02,47.6743,-117.297248,0.828384452362654,0.0833333333333333,0.16198350707169237
2000,3985,{653CB97C-FFDF-4170-9A30-82B4F29FA260},2020-09-15,spokane valley Washington... landed on coworker. Was not able to get picture but able to see it.. roughly 2in ling orange head,Unverified,Thanks for the submission. Your county is Negative for Asian giant hornet.,2020-09-15,47.679192,-117.261548,0.8327976897459186,0.0416666666666666,0.16244238504651515
152,230,{9B00D6DA-198D-4BD2-9594-71D68677C1C6},2020-04-29,Flew in my slider from my dining room. Had screen door open!,Unverified, ,2020-05-03,47.600574,-117.361508,0.8259022489267721,0.0833333333333333,0.16432639513367156
960,2173,{158AF143-6545-4517-AA2E-FDA41D8DBDAA},2020-07-20,"While camping at Starbuck / Lyons Ferry Marina KOA, 102 Lyons Ferry Rd, LaCrosse, WA 99143, our neighbor campsite warned us of seeing the ""murder hornet"". I asked if he had reported it and said he wasn't sure. Anyway in reading an article that you have t",Unverified, ,2020-08-01,46.58051,-118.21463,0.835215848839827,0.0,0.16478415116017298
2116,4235,{1F8CD67D-2ED7-4406-A99C-A80AE4BD5E62},2020-10-03,"Large bee-like flying outside window.  Unfamiliar.  Looked up Giant asian bee and the images where very similar.  The bee was between 1 1/2 to 2 inches long. Body was light rusty color, wings were large and rusty/golden in color.  Have never seen anythin",Unverified, ,2020-10-03,47.690286,-117.389101,0.8147236001459435,0.1666666666666666,0.16506250713163592
176,307,{F6B858E6-EE99-4256-8A64-9B0E1364990E},2020-05-01,"Slowly buzzing around looking for a flower. Not fast and a size of a large bumble bee about 1.5 inches. Striped rust color,  black, fat. Only saw one.",Unverified, ,2020-05-04,47.639998,-117.384251,0.8195249850563202,0.125,0.16549631840077783
340,515,{5377DA87-43B2-4AC7-B5D6-6C6E99DD0BA1},2020-05-06,"Has lighter color, may be a bald faced hornet. But this guy is huge",Unverified, ,2020-05-06,47.631874,-117.351819,0.8245514955324219,0.0833333333333333,0.1656013365653663
2152,4363,{E3A18343-ED24-4D01-9FE6-0D92FCD64688},2020-10-14,Flew into my shed,Unverified, ,2020-10-14,47.701216,-117.389074,0.8138405645217633,0.1666666666666666,0.16584920243729026
232,261,{3B33F760-A202-40BB-A29F-6C9D05F19B6E},2020-05-03,Found sleeping on my plant starts in my basement,Unverified, ,2020-05-03,47.628184,-117.403578,0.817931639457525,0.125,0.1669574227570954
515,760,{342A26DF-C57B-4684-BB46-A9B03CEE57A9},2020-05-18,He was huge wasn't afraid of me he had distinctive blk and orange features,Unverified, ,2020-05-18,47.665121,-117.305353,0.8280409418011597,0.0416666666666666,0.16706371761086516
43,71,{D0ACA64D-2369-4D88-954B-F864FFFA649F},2020-04-09,A giant wasp landed on my arm while I was walking on mallon street. I quickly brushed it off as it landed but I was massive with a big orange head and I remember thinking I've never seen a bee with such huge orange head.,Unverified, ,2020-04-09,47.665299,-117.42232,0.8123112632649416,0.1666666666666666,0.16721165496664314
846,1523,{B15CA48F-A8C6-42F5-8BFB-7BB52AE0736D},2020-07-14,"Two different ones , two locations both were orange and black in color",Unverified, ,2020-07-15,46.536218,-118.292692,0.8326540751608872,0.0,0.16734592483911281
1696,3251,{BA8F7AEB-B739-42E1-BB47-B6668F15BDDA},2020-08-23,Found in my friends pool,Unverified, ,2020-08-23,47.692002,-117.375101,0.8164663825426768,0.125,0.1683010692723448
1925,3813,{D4F6C079-D363-4311-A494-81B257257238},2020-09-08,Very large hornet - orange rear end,Unverified, ,2020-09-08,47.604493,-117.396847,0.8208466273861369,0.0833333333333333,0.16909826644051737
834,1566,{E6E74C17-07C7-4BFB-AFE2-13F24A6B5088},2020-07-13,saw a GIANT hornet that looked exactly like the asian hornets picture. I did not have time to take a photo.,Unverified, ,2020-07-16,47.670847,-117.40676,0.8139414828788126,0.125,0.17061641247279435
1055,1959,{F69A6C10-4E6C-4C69-9899-BFF840069D6D},2020-07-26,He landed on my recycle bin. He was at least 2 inches. I grew up here and never seen a bee like it. He got away when I tried to kill him,Unverified,Thanks for the submission. Look up native Cicada killers of Washington state. They are flying right now.,2020-07-28,47.69402,-117.392848,0.8139143125519147,0.125,0.17064132777241495
162,206,{9E916BFA-D7EF-4325-935F-F80AAECE13FD},2020-04-30,It was huge with an orange head.,Unverified, ,2020-05-03,47.657858,-117.421155,0.8130875583191659,0.125,0.1713994647465822
847,1524,{875F594B-7D44-4390-BC47-33CC098AE66A},2020-07-14,Orange and black,Unverified,Your county is currently negative for the Asian giant hornet.,2020-07-15,46.583079,-118.272646,0.8282971191690538,0.0,0.1717028808309462
273,486,{C4ADF001-A3E7-4087-A8CA-0A39841CB515},2020-05-04,"I was gardening on my apartment patio, and I live right on the Spokane River. My cat spotted it, and I did not have my phone to take a picture. I had never seen anything like it before, but it was huge and looked like a giant bee but darker. Once I saw t",Unverified, ,2020-05-06,47.672874,-117.385652,0.8166099971277083,0.0833333333333333,0.1730971129137781
608,942,{9FBDA149-8D4D-46DF-85B3-4AD08C855091},2020-06-01,I believe with confidence that I observed an Asian Hornet while mowing my field. I did not have a camera with me. I am willing to set and monitor traps if they can be sent to me. This area is adjacent to commercial garden and farming including honey coll,Unverified,Hello. Please check out our trapping information here:  ,2020-06-03,47.805091,-117.23439,0.8267387068476987,0.0,0.17326129315230132
787,1341,{0C21535D-6267-4E34-90A4-8ADCE7A7A2BD},2020-07-06,Large “hornet” about 2 fingers in size. Best discretion is a June bug but more length than with. It flew around me a couple times and as soon as I noticed it it flew away. No photo. Encounter was brief but the sound and size. It was massive. I was un,Unverified, ,2020-07-06,47.650995,-117.37498,0.8198510289790945,0.0416666666666666,0.17502047951276506
1588,2983,{99378B1E-D91C-47A1-B605-B102F5CF9636},2020-08-18,we didn't catch it but landed on our patio. We live in remote woods. But I've researched and it is very obvious thats what this was,Unverified, ,2020-08-18,48.114093,-117.100105,0.8249066505197294,0.0,0.17509334948027055
241,252,{58F96CDE-F18D-42D9-89C9-859AE56C5DCE},2020-05-03,"I went into my bedroom this morning and saw movement on a newspaper on my bed. I was the biggest hornet I have ever seen. Close to 2 inches long and rounder than any hornet I’ve ever seen. I dropped my iPad on top of it, picked up the newspaper with iP",Unverified, ,2020-05-03,47.671511,-117.449275,0.8081813735764689,0.125,0.17589845599234438
597,882,{AE30F73C-3FA4-44A0-8C80-F157C1265183},2020-05-30,I am fairly certain we just saw one here in Spokane Washington in my backyard my dog was chasing it from about 20 feet away it look like it was 2 to 2 1/2 inches long possibly could have been a bumblebee didn’t look hairy or fuzzy I tried to get a pict,Unverified, ,2020-05-30,47.654513,-117.347817,0.8232046236133429,0.0,0.1767953763866571
359,481,{D654EA37-A9CE-4373-A3E8-272E2B1DC112},2020-05-06,"Not sure if that’s it or not, but this thing was huge..",Unverified, ,2020-05-06,47.65877,-117.42662,0.8122782707251371,0.0833333333333333,0.17718571819473014
304,363,{D7162943-EF97-45A1-BF21-3DB1F256539B},2020-05-05,Huge bee! At least 1.5 inches long.,Unverified, ,2020-05-05,47.681769,-117.33954,0.8220848179976245,0.0,0.17791518200237555
894,1626,{67263BA3-682C-4AFE-8A60-23D9579CE594},2020-07-17,"seen only one.  Was gone when I came back to kill it.  Sorry I do not have a photo.  But was positive it was a asian hornet.  I was working on the roof of Guitar Center...address 5702 N Division St, Spokane, WA 99208",Unverified, ,2020-07-18,47.70889,-117.409357,0.8104889106251504,0.0833333333333333,0.17887464922924518
594,920,{6C937865-46CA-4D87-842D-477EA7D81F1E},2020-05-29,"On our back deck saw several wasps and was checking the rafters of the roof for more. Were we live dealing with the wasps and hornets is an every summer event. While checking my husband asked me to look at this bug. I was ~ 10-12 inches away, saw a large",Unverified,"If you see the insect again, please try to get a photo and resubmit a sighting.",2020-06-01,47.927264,-117.214448,0.8207942274699768,0.0,0.17920577253002323
525,772,{6BC95B60-7A8E-49B9-9816-7FFED227B534},2020-05-19,Was on my windshield as I entered my car to pickup m son from school,Unverified, ,2020-05-19,47.680155,-117.43123,0.8098892226957621,0.0833333333333333,0.17944067926142002
1226,2236,{4BF9D0E0-44D7-4FEF-B2FD-AD261A906337},2020-08-01,Bald faced hornet 1.25 inches,Unverified, ,2020-08-01,47.710685,-117.343423,0.8192319336733506,0.0,0.18076806632664943
980,1754,{29CBF502-1E32-4DC6-8259-C69EC53D467C},2020-07-21,I don’t believe my picture downloaded. I will try again. The flower measured two inches for reference. Two of these were on the hosta flowers.,Unverified, ,2020-07-21,47.670778,-117.463432,0.8063434950355931,0.0833333333333333,0.18278740051961853
973,1753,{E06697D1-9FAB-4AC5-ADEA-DF532D431634},2020-07-21,There were two of these on my hosta plant flowers today. I have several more pics and video if needed. The flowers were measured at two inches for reference.,Unverified, ,2020-07-21,47.670787,-117.463415,0.8063434950355931,0.0833333333333333,0.18278740051961853
294,443,{3D696828-0600-4D49-B406-ACD22C2C58DA},2020-05-05,I put it in a baggie,Unverified, ,2020-05-05,47.720581,-117.393124,0.8117387456624514,0.0416666666666666,0.18290182187057127
1348,2527,{CCAD1823-AC6C-44A1-8286-5C27EAEF71F1},2020-08-06,"We were looking at our blooming mint plants, to see if there were any honey bees on them. We saw a couple of honey bees and a couple of large hornets landing on the blooms and then leaving. They looked like the pictures and were about 2"" long. I tried to",Unverified, ,2020-08-07,47.72727,-117.47355,0.8003621416427956,0.125,0.18306872329027787
572,842,{AF5F1AC0-EAAD-4F65-8A80-DE2C902778F4},2020-05-28,Hugh hornet at first I thought it was a big moth cause the wings were so big then I saw the stripes my dog ate it before I could stop her,Unverified, ,2020-05-28,47.757443,-117.344623,0.8153892731549407,0.0,0.1846107268450593
1647,3181,{A7CA8D72-1362-4991-95E2-AF2B22AD5128},2020-08-21, ,Unverified, ,2020-08-21,47.718046,-117.454975,0.8036070549694528,0.0833333333333333,0.18537025600624132
1630,3180,{294E680A-E7E8-4851-A365-095099777D5E},2020-08-20,"Although I’m not 100% sure, I’ve never seen whatever it was and it had very distinct orange coloring. I only saw it for 2 seconds and honestly my visio is not very good. However, I’ve been gardening in the same house for 30 years and it was like no",Unverified, ,2020-08-21,47.718046,-117.454975,0.8036070549694528,0.0833333333333333,0.18537025600624132
1530,2919,{003B9570-B649-4452-93B4-B83025F12014},2020-08-16,"This is a 1.75"" long orange and black wasp and I have never seen it in Spokane before and there were 4-5 of them.  Not sure if this is the wasp you are looking for or not, but figured I should send it in anyway.  The attached zip file has 6 pictures and",Unverified, ,2020-08-16,47.602559,-117.453877,0.8134019578161267,0.0,0.18659804218387332
168,211,{CC31733D-1F19-41BA-B96C-BCA4433EBECB},2020-05-01,"Dear Sir, Madame, excuse me but I have not seen any of these giant hornets.  Instead, I want to suggest an approach to protecting honey bee hives.  I have see several program originating in Japan about the damage these large insects can cause thus my con",Unverified, ,2020-05-03,47.744827,-117.383439,0.8111235318319787,0.0,0.18887646816802128
540,810,{67F27CE1-0645-466E-A611-2885780ABF95},2020-05-24,"No picture. It flew away. Not positive, but definitely looked like one. The only other possibility is maybe a safely? Huge huge thing. I'm not afraid of bees,hornets, etc. Th 9i8 s guy was weird looking and very large.",Unverified, ,2020-05-25,47.510474,-117.576357,0.8053828299059906,0.0416666666666666,0.18907679704325442
548,811,{20642A88-76CC-47E1-8F7B-AF271082C083},2020-05-25, ,Unverified, ,2020-05-25,47.510572,-117.577497,0.8052236894198747,0.0416666666666666,0.1892314071086468
1822,2174,{BFAD5C5D-1786-4626-AEC4-98A6B29039C5},2020-09-01,We didn’t get a photo because it got away too quickly but my husband things he saw a giant Asian hornet in our garden when he was gardening. it landed long enough that he saw it clearly and said it was around 2 inches long and very orange.,Unverified, ,2020-08-01,47.747395,-117.411391,0.8071450196790796,0.0,0.1928549803209204
