,GlobalID,Detection Date,Notes,Lab Status,Lab Comments,Submission Date,Latitude,Longitude,d,k
4301,{C5D8E4C9-DBC4-469D-95DB-8E858B700ADD},2020-04-01,I killed about 20 of these . It was a hot dry spring . One almost killed my cat. He tried to eat it . Took my cat to the vet pulled a 1/4 inches long stinger out of his mouth.vet wanted to know what stung him he had never seen anything like it. I had alr,Unverified, ,2020-10-07,46.385863,-117.062473,0.995814723665421,0.0975609756097561
4390,{1165248B-DD91-4799-B6B7-E271D519A9B5},2020-04-01,it landed on a window screen while window was open-I had a few moments to look at it carefully,Unverified, ,2020-10-17,46.809103,-120.914004,0.5396423905447696,0.0
82,{D6105319-F8F8-4E29-AC72-64BBCB08833A},2020-04-02,"Saw this one who spent the morning either on the dirt or flying under my house, back and fort.   My wife was alarmed and gave me the electric swatted.   I went out and zapped it a few time before it quit moving. I remember seeing a giant stinger and was",Unverified, ,2020-04-12,48.291902,-122.521527,0.15567746786983866,0.04878048780487805
572,{3BB61E0D-ACAE-42C9-A30E-1E6D4283A991},2020-04-02,Had not read about the hornet. I found an extremely large “wasp” with very different red markings on my front window...inside. I captured it and released outside. Few days later I read about the hornet and saw pictures. It’s very possible that was,Unverified,"Thanks for reporting this. It's also very likely you had a pacific sawfly, Cimbex pacifica. They are one of our largest insects, and are distinctly more red than the AGH.",2020-05-08,48.144053,-123.160706,0.17669120104517974,0.024390243902439025
55,{620598A3-EE9C-4E4C-BAEC-39327473CF01},2020-04-03,I didn’t capture a picture but it was absolutely massive. I’ve never seen a bee that large in WA and I’ve lived here for 29 years!,Unverified, ,2020-04-08,47.440059,-122.220459,0.3395998541609698,0.07317073170731707
60,{AC3FE194-329E-4758-841D-88A6B2692211},2020-04-05,No photo.  Was large hornet with orange/yellow head,Unverified, ,2020-04-08,48.731977,-122.691497,0.061677756509585895,0.04878048780487805
23,{A0161ABC-0636-445B-A877-BBB2CA55EC8F},2020-04-05,"I am fairly confident this is what chased me around my pasture yesterday.  It is as huge, fast, and incessant.  I even smacked it hard with my cell phone, which stunned it, then it came back at me.  I was out checking my raspberry rows.  It didn’t stop",Unverified, ,2020-04-05,46.240112,-122.915848,0.5768465348038769,0.0
33,{6B29A36C-EE9D-4188-849D-79E6A5A3D161},2020-04-05,I had arrived at the Ephrata gun ranger's 25 yd handgun bay. While I was offloading my gear and equipment I noticed a large orange headed beeline wasp flying around my vehicle. It lingered around my vehicle and myself. Realizing it could be the Asian hor,Unverified, ,2020-04-07,47.296898,-119.500329,0.5985002126819191,0.0
94,{A2E73DE8-D26A-4BC8-A32D-D8E3268F2DEF},2020-04-06,"I was watering my plants at the windowsill when I heard a buzzing sound and a giant wasp was flying around the window and actually bumped into it. It was hovering for about 10-15 seconds before flying away, and before I could capture a photo. I was compl",Unverified, ,2020-04-13,48.736447,-122.46473,0.08163187798134476,0.7317073170731707
28,{C77D080B-8315-45F8-A0F1-33DEDC5D58C5},2020-04-06,Not sure but this this was huge and never seen it before around my pond,Unverified, ,2020-04-07,47.370776,-120.138766,0.5185451037583934,0.024390243902439025
25,{22E3A08D-494C-4539-8894-FDC32F2C9855},2020-04-06,"Unknown if this is our invasive species, but its a growing colony right above the sidewalk on the concrete support wall for the Highway 99 overpass over Cloverdale, on the northwest corner.  Definitely a hazard to pedestrians regardless of species.  Didn",Unverified,This is unlikely to be the AGH based on you description of the nest.,2020-04-06,47.526507,-122.324826,0.31787211740041926,0.3902439024390244
24,{AA08DB6A-08EF-4922-8D7E-AAFF5A9B8599},2020-04-06, ,Unverified, ,2020-04-06,47.526522,-122.324858,0.3178664205633033,0.3902439024390244
54,{3AA62A75-F0A9-4DA2-B846-16A4325603D0},2020-04-07, ,Unverified, ,2020-04-08,47.473632,-122.106425,0.33807310181387296,0.0975609756097561
44,{AED5EB6F-DB33-4970-AEA0-100840AB6460},2020-04-07,"I was in my back yard in Snohomish. A very large insect flew past me, at a distance of about 7 feet. Since it was in the air and moving rapidly I was unable to take a photo. It may not have been one of these wasps, but the size startled me.",Unverified, ,2020-04-07,48.006687,-121.982158,0.24429176920973475,0.0
37,{38994878-498E-4CDE-B4CE-2B0D581A19C5},2020-04-07,"4/07/20. We prefer not to risk going close to eat, but my husband thought it was a mouse and put a trap at first, until he saw it was a big giant bee today and left immediately. We were advised to call you.",Unverified,Hmm... could also be a queen bumble bee or many of our native wood wasps.,2020-04-07,47.637224,-122.700911,0.28420191109895787,0.0975609756097561
57,{1A098A5A-81AA-4721-A8A2-2CC8FD080895},2020-04-07,Biggest hornet we have ever seen. Saw two of them,Unverified, ,2020-04-08,47.568036,-122.639598,0.2998644152766384,0.1951219512195122
36,{4AA114DD-D296-47C6-A3BB-6E8E5A257DC3},2020-04-07,"Last summer, my grandson & friend said they saw a bee that was a good 2 inches long, in our back yard. We teased them bigtime, but now I'm thinking maybe he did. Yesterday there was a big fat bee out back, but it was about one inch",Unverified, ,2020-04-07,47.32299,-122.310432,0.3599185732081548,0.1951219512195122
31,{B96D7B7E-8C04-4C89-88EE-656E8CF0FF6E},2020-04-07,"My husband and I were walking in the Orting Trail between Sumner, Puyallup and Orting when an insect buzzed past my head. It was larger than bees or flies I had seen before. I joked that “whatever it was it just darkened the sky for a bit”. I was jok",Unverified, ,2020-04-07,47.179097,-122.235314,0.3920259471941178,0.07317073170731707
53,{AA6AE74F-0C8D-473E-9060-30C2CE574D59},2020-04-08,Yes I saw a large bee looking bug flying around my Japanese maple yesterday Thought it was a large wasp,Unverified, ,2020-04-08,47.62986,-120.68945,0.42374403731048527,0.5609756097560976
52,{CE1A6C29-2394-48A7-A17F-0DFCF709954E},2020-04-08,I spotted two hornets on my patio umbrella. I was not able to get a picture of them,Unverified, ,2020-04-08,47.288518,-122.252099,0.36907718834503084,0.12195121951219512
46,{04A51FB3-705E-46B4-B80F-B3A29135B518},2020-04-08,"100% caught one in my house last week, Everett, WA. I was shocked at the size, bigest wasp I had ever seen. Threw it outside alive.",Unverified, ,2020-04-08,47.941026,-122.235926,0.23960137331753414,0.2926829268292683
80,{4AA1D6E7-90B2-44E8-80F1-F0981E70BADC},2020-04-08,"I saw the very large hornet ""sniffing"" around one of my potted climbing roses. I live on the 9th floor of an apartment building in Bellevue, WA. We are East facing over the 405 freeway near Bellevue City Hall. It was so large it was rather startling and",Unverified, ,2020-04-11,47.613333,-122.19203,0.3061822076383192,0.2926829268292683
62,{F3A14E04-0477-4C40-A87F-88ACC6D13869},2020-04-08,Several huge wasps flying around our rooftop deck area. Bigger than usual as we had a nest last year to compare too.,Unverified, ,2020-04-08,47.513367,-122.389528,0.3181778476589797,0.4878048780487805
71,{D0ACA64D-2369-4D88-954B-F864FFFA649F},2020-04-09,A giant wasp landed on my arm while I was walking on mallon street. I quickly brushed it off as it landed but I was massive with a big orange head and I remember thinking I've never seen a bee with such huge orange head.,Unverified, ,2020-04-09,47.665299,-117.42232,0.8183012791298273,0.14634146341463414
64,{816D3E16-A9C7-4721-98E3-98244720AFCD},2020-04-09,It was very large and distinctive. I am allergic to bees so my first instinct was to get away not take a picture unfortunately. I have never seen such a large bee.,Unverified, ,2020-04-09,46.713962,-117.173186,0.9434835779175402,0.04878048780487805
253,{C4DA046B-5C3A-4E6F-9314-1A07079D89F3},2020-04-09,"On garage door, clearly visible on white background. We have lived on site with same insect species for over 25 years. Shocking to see. Left it alone and went in the house, we did not know what we were dealing with.",Unverified, ,2020-05-03,47.512482,-122.357321,0.31950710965272083,0.7073170731707317
70,{24787530-CACF-4C09-AD57-32E3B0127F56},2020-04-09, ,Unverified, ,2020-04-09,46.612154,-123.95825,0.5171816607419562,0.024390243902439025
495,{CE977314-3E61-4C37-816C-B5AD9A551C8B},2020-04-09,The homeowner called an exterminator so probably handled. I didn't take a picture because I didn't know what it was at the time but it was huge! He was spraying with bleach and it wasn't dying,Unverified, ,2020-05-06,47.997103,-122.111653,0.2367510558138122,0.0975609756097561
68,{B757C1C4-1B6E-4DF2-873B-FE0E670321EB},2020-04-09,I saw similar bees to this pictures yesterday when I was outside in my yard.,Unverified, ,2020-04-09,47.67887,-122.20664,0.2924718196457327,0.3902439024390244
134,{8AB51F48-73F7-4804-AE9F-818269408CCB},2020-04-09,Twice now I think I've seen this Asian Giant on my property.  I would like traps put on my property.,Unverified, ,2020-04-19,48.96684,-122.615869,0.039306277154923595,0.14634146341463414
66,{04A35B46-D137-4428-AB36-AACD8E1FCB7F},2020-04-09, ,Unverified, ,2020-04-09,47.749228,-122.338696,0.2722784310151004,0.21951219512195122
67,{ACF693FD-9B22-42F9-9762-AAF8A782FE4A},2020-04-09,Over the last 2 Summers I have notice a large hornet nesting in the ground where a garden was located.  They look similar to the Asian Hornet and do not seem aggressive.  These ground nest are next to a home and would prefer to have them erradicated if p,Unverified, ,2020-04-09,47.770075,-122.264719,0.2715473369185428,0.4878048780487805
85,{EF5051F6-1E6D-4A21-8F1C-A045E3DA56B4},2020-04-10,"My girlfriend was digging a flower bed behind the house and one of these giant hornets came out of the dirt and flew past her, it looked like it might have been a mole tunnel that it came from.",Unverified, ,2020-04-13,47.946801,-122.245689,0.23792840215112573,0.2926829268292683
78,{DF8041A1-A4C4-40F5-898E-775A7A6E5DB5},2020-04-10,Flying past us near our house. Did not find a nest. We have many wild honeybee nests all around us. Last year found a huge pile of honeybees in our pasture dead and dying on the ground. I do have pictures but will have to search for them.,Unverified, ,2020-04-11,46.521513,-117.012612,0.9853420381004467,0.0
101,{C688F9E8-0014-422F-B86F-14F3492DE339},2020-04-10,Was sitting still on the porch upper eaves about 4 feet from an actively yellow jacket hive being built it was the biggest bee I have ever seen with the orange color. I didn't realize what it was,Unverified, ,2020-04-14,47.152745,-119.367377,0.6323944945766111,0.0
79,{192333AB-76D4-4536-B46F-D38F850C5536},2020-04-11,"Had a hive that was starting to do its spring activity.  Yesterday, no bees anywhere.  Still lots of honey in the hive.  Could this be the Wasp?  On the county line Snohimish/Skagit on hwy 530.",Unverified, ,2020-04-11,48.096743,-120.458737,0.3906492115577432,0.0
77,{28514DE9-92C7-45EB-A399-F9F9B0B280A7},2020-04-11,Seen twice last few days,Unverified, ,2020-04-11,47.38077,-122.65212,0.3387984990733145,0.0975609756097561
86,{731D1EAC-C846-44A3-8780-3F9AF2568E54},2020-04-11,"Sorry, we don't have a photo, but my husband and I were sitting on our deck in Sammamish and a VERY large bumble bee flew around us for several minutes. It was bigger than any we've seen before. Then on Saturday night, we had to take our dog to an emerge",Unverified, ,2020-04-13,47.562359,-122.038914,0.32411205298818097,0.21951219512195122
140,{0858823D-36B2-4580-9621-F98DB25F9C54},2020-04-11,Was trimming the hedge right on Highway 20 when a half a dozen bees chased 2 large flying wasps (2 inches) from my driveway area to the end if the hedge and back again...all happened in just a few seconds...no pictures...yes I will trap for you...,Unverified, ,2020-04-20,48.563552,-121.411273,0.22641889223103334,0.0
88,{6837DBE5-8CB1-4913-A743-2B78C25D69AE},2020-04-12,it was bumping around my house.  (I'd left the door open). I caught it in a glass to release it and thought it was so weird looking I'd save it to show the grandkids but it was so angry I released it.  then THIS morning I saw the information identifying,Unverified, ,2020-04-13,47.916729,-124.530363,0.30899074833652357,0.0
90,{2A65F013-7959-4B25-8D35-305012D6FF20},2020-04-12,"Couldn’t get a photo. It was 0.5-1” long and looked like a bee, not as much like a wasp, but not one I had ever seen before. It was buzzing around in a back corner of our yard close to the ground",Unverified, ,2020-04-13,47.669197,-122.289611,0.29050830978640657,0.34146341463414637
110,{BA1BAD2A-841F-4793-A890-AABE24F66F52},2020-04-12,"I heard a loud buzzing and my first thought when I saw it moving across the room was large horsefly (I didn't have my contacts in), but it was bigger than that. I followed it from my bedroom into the bathroom where it flew into the shower (I live in an R",Unverified, ,2020-04-15,48.578994,-122.342321,0.11711937532282078,0.024390243902439025
84,{DB1012D6-4C92-4F0C-8086-32929E1AB020},2020-04-12,Saw a giant hornet flying near our porch. Did not bother us but was investigating an area where we commonly have other wasps.,Unverified, ,2020-04-13,47.676217,-122.113955,0.2978116549691611,0.07317073170731707
254,{209348D3-E846-4617-BCA7-D710AE39EE06},2020-04-12,I believe that I saw one of these giant wasps on Easter Sunday. My husband and I were outside all day working on our garden. At one point I had left our veggie garden and was walking back along the side of my husbands shop (which is 30’ in depth) and I,Unverified, ,2020-05-03,48.311344,-122.230689,0.1712905994591803,0.0
97,{22543402-23E2-431F-A1DC-6B91DFAEAB95},2020-04-12,Looked dead or dying. Pretty sure it was an Asian hornet. Had the reddish/orange color and was in about 1.5 inches long,Unverified, ,2020-04-14,47.639437,-122.385481,0.2925819584966427,0.7317073170731707
102,{A9AAD4EC-96BB-4C80-8AA8-33E29E113F7B},2020-04-12,The stinger was half as long as the body. It hovered over me as I sat there. The head looked like it had a small helmet on. Then it flew away.,Unverified, ,2020-04-14,48.03966,-122.7768,0.1985480661136937,0.07317073170731707
546,{1641E259-7F78-4049-9827-36A9BBD0197C},2020-04-13,I apologize for not saving the carcas but I didn't realize this was an dangerous species. Two wasps entered my home and was really loud. Unmistakably loud. They were also aggresive coming at me when I tried to kill them. Their bodies were the biggest was,Unverified, ,2020-05-07,48.061953,-122.160771,0.22140947346033485,0.2682926829268293
400,{857EE70A-A38E-47D7-8CB2-7A5ED5B0DD5E},2020-04-13,"I killed one of these about 3 weeks ago in the back yard. Large yellow evil looking hornet, looked like a black face horent but yello.  I have seen them flying through the back yard since then on occassion.  I live on beacon hill 13th and Ferdinand.",Unverified, ,2020-05-05,47.21046,-122.302023,0.3832756053838909,0.0975609756097561
105,{474A8B68-7221-4905-AFC8-27036610A3D8},2020-04-13,The suspected Asian hornett was 1.5 inches long and resembled the photo on your site.  I definitely was snot any of the other pictures shown.  It came into the room when I opened the sliding screen and stayed on the screen until I shooed it way.  then it,Unverified, ,2020-04-15,47.603492,-122.33652,0.3017861483304469,0.3170731707317073
522,{D24EDE9A-9C5A-4DE9-A7B1-376777ADE3E4},2020-04-14,No photo.  I believe that I killed a giant asian hornet that somehow was inside my house.  It was not very active at the time so didn't cause a problem.  This happened before the first Seattle Times article on the subject appeared.  I live in the Ravensd,Unverified, ,2020-05-06,47.37119,-121.961822,0.3656476924011789,0.04878048780487805
111,{F11CA47E-4DD0-498D-875D-80D0986EA0F2},2020-04-14,"Size of a bumble bee, but it wasn’t so I took a closer look, alarmed by its size. I’ll try to get a photo tomorrow.",Unverified, ,2020-04-15,48.73459,-122.460162,0.08236866891501839,0.7317073170731707
107,{5939FD0A-B236-4F57-A4D8-31F4B423C5F0},2020-04-14,"I saw this huge hornet in my backyard. I’ve never seen a hornet like that before (WA native). It was huge. I sprayed it with my hose and tried to kill it, but when I came back outside later it was gone.",Unverified, ,2020-04-15,47.568535,-122.636847,0.2998188405797102,0.1951219512195122
117,{2EF375EB-2C48-497F-A5FA-A8838A9C4C64},2020-04-14,"Possibly two individuals in Marysville, WA. One flew by and one then one was on a rhododendron (coul have been the same one as I didn't see the first one land). Went to grab my phone to take a pic but it flew away. I am very familiar with other stinging",Unverified, ,2020-04-16,48.068763,-122.132522,0.2221044875884909,0.2682926829268293
96,{72428E4E-60A7-4273-9CC4-A53979B7DCEC},2020-04-14,I saw it on my back porch screen door. However it flew off before I was able to take a photo.,Unverified, ,2020-04-14,48.734703,-122.668193,0.06296524169780938,0.07317073170731707
155,{3E43FC08-D848-459F-AB6B-0D5FAE715E78},2020-04-14,It came in our bedroom window which was open with the light on and it was  about 30’ above ground,Unverified, ,2020-04-25,48.728709,-122.495858,0.07953354297693922,0.6341463414634146
327,{86364962-3EF3-4734-AA05-913F16EF66C7},2020-04-15,"Sorry, couldn't get phone out fast enough, but it was huge!",Unverified, ,2020-05-04,47.873634,-122.161934,0.2568798802904627,0.17073170731707318
130,{0E40ECA2-3A81-49F8-B5EE-2678AA3719C0},2020-04-15,"While looking at water fowl in a neighborhood storm overflow pond, about 4 ft away, 3 ft off the ground I briefly saw a 1-2” “something” fly fast and without sound along the inside of a black coated chaine link fence seperating the pond from E Warn",Unverified, ,2020-04-18,47.192586,-121.972048,0.4004230851031507,0.0
109,{6DB6BEA7-A49E-4A8D-BFE7-EE5242A109E2},2020-04-15,"Hornet not seen, but we have a dead honeybee hive.",Unverified, ,2020-04-15,48.530016,-122.39823,0.12006084222039924,0.04878048780487805
123,{161A2B08-B79B-49DC-981F-FA347AB0334D},2020-04-15,"Larger wasp size, orange head with loud buzzing",Unverified, ,2020-04-17,48.93325,-122.72628,0.027650548415519706,0.14634146341463414
237,{31BBE582-12AB-475A-9275-8EB0BED1BA0F},2020-04-15,"I saw a huge bee. It was orange and black and definitely not a local bee. It was sitting on my house in Bonney Lake, WA. I don’t have a picture but I’m certain is was the Giant Asian Hornet.",Unverified, ,2020-05-03,47.184025,-122.146853,0.3944072251086197,0.21951219512195122
2125,{7DBDC5EA-612D-4E2D-8ACE-8BF383873E16},2020-04-15,I don't remember the exact date.  But it was mid to late afternoon.  I was working in my backyard and I went turn on my garden hose and I saw the hornet in the grass about 2 feet from my house where the bees tend to like the clover.  I wasn't more than 2,Unverified, ,2020-07-31,48.496143000000004,-122.614252,0.11087564184364843,0.14634146341463414
1261,{DCCCD5AC-E7B9-4859-A479-4C3EF6321050},2020-04-16,Date approximate. Found hornet on driveway ground near death. Recognize from media photos. Thought it was queen yellow jacket until saw photos in media. I killed it. Bagged and into garbage. Sorry no photo. Was too big for yellow jacket and color a bit d,Unverified, ,2020-07-02,47.177374,-122.537428,0.38361171877373684,0.17073170731707318
118,{B632E3A4-AE71-48BD-A673-884E1CCF59E8},2020-04-16,"Hornet was seen flying near our patio, tried to grab a photo but they are quick!",Unverified, ,2020-04-16,47.676217,-122.113955,0.2978116549691611,0.07317073170731707
532,{D4EC607D-513E-4F06-94FB-3309B78536F1},2020-04-16,For a few day these what we thought were giant yellow jackets of some kind kept flying around and trying to get into the truck,Unverified, ,2020-05-07,47.335073,-123.159113,0.3465936711937532,0.0
127,{0643853B-3A4B-41C3-A8A1-A4332651761F},2020-04-16,I have seen them around my for the past couple days.,Unverified, ,2020-04-17,47.831406,-122.192662,0.26327363048035735,0.1951219512195122
132,{8F4C0AAA-D5C4-4352-9876-BBE7A953B008},2020-04-16,"Saw a bee that looked like the picture in the Bellingham Herald. I did not notice if it had a skinny waist but it had pronounced striping on the bottom half and a vivid yellow at the head. It was at least as large as bumble bees, likely larger.r.",Unverified, ,2020-04-18,48.731766,-122.494206,0.07925629690395894,0.7804878048780488
119,{2312FBBC-4CC6-4529-816A-5ED0192939E8},2020-04-17,"Very large hornet, yellow face with black thorax and bright yellow stripes.  About 1.5 inches long. Flew back to Canada after buzzing my vehicle while I was parked.",Unverified, ,2020-04-17,49.0022,-122.42964,0.0637400115455899,0.04878048780487805
122,{075F1540-FFC3-476E-9162-B930D695F546},2020-04-17,"Two sightings this week, 918 38th st. BELLINGHAM, WA",Unverified, ,2020-04-17,48.723593,-122.467507,0.08315483243703096,0.5853658536585366
135,{CEB2B438-B931-4DB4-8E2E-A64086824E66},2020-04-17,It was hovering by a compost.  Also one spotted by veg garden hovering by weeds.,Unverified, ,2020-04-19,48.860105,-122.634026,0.046875474736426344,0.2926829268292683
301,{0C36F62B-09EA-4B7F-9CCD-671F6206D8AD},2020-04-17,"Saw the biggest hornet flying against the window trying to get out the main door of my workplace. I killed it with a papertowl and my hand then threw the body away. Did not take a picture but head was bright yellow with big eyes, black and yellow on the",Unverified, ,2020-05-04,46.232883,-119.129303,0.7924224470573938,0.024390243902439025
126,{94CC2E4B-A9C7-4CF2-AA38-64014B6F35C4},2020-04-17,It was about 2 inches long and had a really big yellow face. Unfortunately I didn’t get a picture as he moved on pretty fast.,Unverified, ,2020-04-17,47.683201,-117.290349,0.8342866040774164,0.12195121951219512
576,{EF552C95-5EAA-461F-BDA9-348171BE601D},2020-04-17,Flying insect about 2” long,Unverified, ,2020-05-08,48.922416,-122.153013,0.10402614468447119,0.0975609756097561
236,{FC7E2F27-906A-476B-A60F-1717DC56F113},2020-04-18,I don’t have a photo since I saw it on my garage door and it was not a bee 🐝 or wasp I normally see. It was huge- it looked twice as big as a normal size wasp or paper wasp or yellow jacket. I live in the White Center Area in Seattle.,Unverified, ,2020-05-03,47.512438,-122.35716,0.31952040227265827,0.6829268292682927
391,{4068A118-3C80-4878-8354-B4604254108D},2020-04-18,I was on the shore of Pot holes resirvour when another member of my group pointed out a large harnet. It flew off before I could get a photo. I had no idea what it was except a really big hornet. I am a bee keeper in Kent WA. so I am familiar with bees.,Unverified, ,2020-05-05,47.022119,-119.302891,0.6572023212712303,0.0
128,{F99DE2AD-9308-4B3E-A05A-0B24E1F189B5},2020-04-18,Siting in Berthasen park near Lynden WA,Unverified, ,2020-04-18,48.96192,-122.50711,0.05423578829034121,0.0
559,{68A98060-A0AC-48B1-8A26-329EB58B9F50},2020-04-18, ,Unverified, ,2020-05-07,48.291872,-122.523503,0.15558062163886613,0.04878048780487805
141,{66671FAA-CA94-4B20-A049-CC49459BFC01},2020-04-19,"I saw what might be these pests yesterday and one today: a bunch of large, yellow-orange bee-like creatures - far too bright to be actual bumblebees and too fuzzy to be wasps - were flying around Ben Burr park in Spokane, WA (the way they float when flyi",Unverified, ,2020-04-20,47.612591,-117.361804,0.8305228936894238,0.1951219512195122
324,{1A324149-F3A3-493D-9257-8A50027DAE43},2020-04-20,"The Hornet was in our house stuck in a mini blind in our skylight. This was nothing we had ever seen before, unfortunately we have no pictures and my wife caught it and let it go outside.",Unverified, ,2020-05-04,47.7315,-122.232402,0.28078001093792726,0.1951219512195122
143,{9459C11E-C2B4-42DA-A8A3-FDFAA678400E},2020-04-20,"I'm not certain that what I saw was one of these hornets, but it seemed slightly larger than a regular wasp - we have them in the yard too, but I'm raising mason bees and this wasp/hornet in particular has been very aggressive toward our mason bees, even",Unverified, ,2020-04-20,47.86406,-121.962161,0.2715834168869444,0.0975609756097561
142,{1FA9A882-6E7C-4DA5-AEDF-5B4B0BF837A2},2020-04-20,Several large hornets have been seen on the property in the last few days,Unverified, ,2020-04-20,48.852465,-122.599719,0.05167600947953697,0.4634146341463415
