,0,1,Lab Status
793,-39.70496,-26.382845,Negative
795,12.130173,-19.679014,Negative
796,13.922555,-20.319012,Negative
798,4.4824524,-46.879566,Negative
803,24.270592,-35.186466,Negative
805,46.130886,-35.51794,Negative
806,49.64323,-32.235264,Negative
807,29.438175,-40.47599,Negative
808,11.943172,-10.57744,Negative
813,3.3421342,-46.179153,Negative
814,-19.514538,27.936195,Negative
815,-11.760362,-77.77754,Negative
816,-36.627743,-25.09309,Negative
818,-13.124517,-73.2708,Negative
819,-56.414864,-21.392576,Negative
821,50.891895,10.136964,Negative
822,50.92849,-29.50691,Negative
829,15.581705,-39.575703,Negative
830,-65.47433,-5.92269,Negative
832,-26.092209,49.418194,Negative
836,-58.312614,-19.528046,Negative
837,-57.457973,-20.28899,Negative
838,-10.75437,-33.088745,Negative
839,-60.31915,27.520035,Negative
840,16.26983,-28.614311,Negative
841,-53.13126,-6.2455225,Negative
847,45.242218,-34.850197,Negative
849,19.44662,-55.318928,Negative
855,13.470499,-21.01417,Negative
857,-15.004909,-70.00515,Negative
864,-11.886148,-48.359127,Negative
866,2.6598663,-44.919777,Negative
867,-54.84396,-5.8507633,Negative
868,-13.457122,-68.98749,Negative
870,12.820252,-13.396208,Negative
871,-51.39173,-7.6539254,Negative
872,-51.28479,-7.3502393,Negative
873,2.0954657,-45.594627,Negative
874,-17.53143,74.269615,Negative
884,-59.72459,-18.033333,Negative
885,-14.820784,-70.297455,Negative
887,-53.661118,-23.506453,Negative
891,18.15207,-53.5712,Negative
892,69.494545,14.9410095,Negative
893,6.8724823,-89.80107,Negative
899,-8.241117,-73.73915,Negative
900,-2.089243,-86.65083,Negative
901,33.22501,-34.25576,Negative
904,-64.76246,27.770624,Negative
907,-37.260044,-14.42795,Negative
908,-61.6469,28.976665,Negative
909,-52.1388,-7.717271,Negative
910,45.36948,-41.04257,Negative
911,39.285698,-34.900406,Negative
913,-67.77461,-8.297777,Negative
914,13.136011,-59.57304,Negative
915,-45.490215,-31.72578,Negative
916,-69.30114,0.8940713,Negative
918,-10.634643,-47.52742,Negative
921,52.27875,-31.052916,Negative
926,-67.3609,-9.761043,Negative
927,-14.196677,-44.099796,Negative
929,-75.75701,1.2725582,Negative
930,5.254815,-84.50514,Negative
932,-66.314995,-9.946554,Negative
933,-5.4614415,-31.890545,Negative
936,51.73979,-30.504007,Negative
937,22.540422,-50.477966,Negative
941,22.301895,-36.267788,Negative
943,-46.491444,-14.528444,Negative
944,17.527273,-39.88234,Negative
945,-46.220325,-32.193005,Negative
946,-51.179585,-25.965101,Negative
948,13.142085,-43.569664,Negative
949,51.102657,-29.320763,Negative
951,10.995237,-39.30452,Negative
954,-61.606667,-15.722958,Negative
955,2.2638204,-84.91961,Negative
959,-1.7870432,-90.647,Negative
960,-38.981304,-15.4416,Negative
961,-14.270778,-69.080124,Negative
962,-57.212097,-18.060833,Negative
963,-2.5194907,-89.2535,Negative
964,6.9402757,-89.8091,Negative
967,10.536134,-60.388123,Negative
968,-55.29081,-14.527612,Negative
971,-57.061985,-20.722246,Negative
974,-63.268635,24.119312,Negative
975,19.675362,-35.412968,Negative
976,41.427975,-36.39438,Negative
977,-52.36096,-25.249823,Negative
978,-53.855705,-7.055301,Negative
982,-54.02995,-23.371464,Negative
983,-62.543934,-9.766568,Negative
984,-68.45882,22.396917,Negative
986,-65.980385,22.445618,Negative
989,5.690983,-83.29897,Negative
990,-56.245735,-14.895281,Negative
992,-59.067997,-15.103737,Negative
993,25.00665,-31.601858,Negative
994,-25.58542,2.91507,Negative
996,-7.701048,-72.63894,Negative
997,19.912205,-55.37276,Negative
1002,-62.979397,23.546997,Negative
1003,-55.157425,-16.000877,Negative
1005,6.6101403,-84.03657,Negative
1006,-1.6747594,-91.63783,Negative
1008,23.94008,-36.74896,Negative
1009,51.008232,-29.30209,Negative
1010,-64.2552,30.696527,Negative
1012,15.683165,-60.189224,Negative
1013,-44.869133,-33.02722,Negative
1017,24.609613,-50.885887,Negative
1021,-68.17634,-6.2225056,Negative
1022,45.71615,-34.929733,Negative
1028,51.900806,-31.229094,Negative
1032,65.907555,11.835878,Negative
1035,-53.15238,-7.2365856,Negative
1037,43.62857,-43.665714,Negative
1039,-11.139205,-76.58881,Negative
1040,-57.069065,-20.71215,Negative
1042,2.0014443,-46.533165,Negative
1043,-46.13522,-32.240833,Negative
1044,-42.104908,-33.28056,Negative
1047,-18.880598,-60.529327,Negative
1051,-56.983326,-19.07653,Negative
1052,-16.28055,-46.06304,Negative
1053,-0.80258936,-90.71917,Negative
1054,-63.252964,22.136637,Negative
1055,-64.70194,23.500458,Negative
1058,7.9116545,-84.56191,Negative
1059,-55.876987,-16.384495,Negative
1060,13.25559,-62.105095,Negative
1062,-56.85996,-15.439596,Negative
1064,-74.863785,-1.4451448,Negative
1065,13.648517,-38.368626,Negative
1067,15.771139,-41.570705,Negative
1068,33.349426,-1.986377,Negative
1071,-6.860785,-6.2920876,Negative
1072,-57.509373,-5.292377,Negative
1073,48.784508,-33.40947,Negative
1074,-66.04457,27.119667,Negative
1075,28.67923,-38.5638,Negative
1076,-56.49474,-16.453148,Negative
1077,-51.880177,-23.428524,Negative
1079,-38.371475,-25.384104,Negative
1080,6.2963924,-44.902916,Negative
1081,-13.059702,-75.81972,Negative
1083,38.752453,-35.902084,Negative
1084,-68.66353,-4.256347,Negative
1085,19.022173,-30.759157,Negative
1086,-46.22748,-32.240772,Negative
1087,19.35669,-51.404224,Negative
1088,-15.932651,-45.83614,Negative
1089,5.9282956,-89.343094,Negative
1090,-64.97553,27.408043,Negative
1092,-68.587654,-8.588972,Negative
1093,-15.208671,-61.69951,Negative
1094,-65.77735,26.508406,Negative
1095,-72.69468,-0.055337053,Negative
1096,28.295444,-37.651463,Negative
1097,-60.74268,-16.97648,Negative
1098,-44.36938,-32.973522,Negative
1100,2.524859,-89.93798,Negative
1101,49.45885,-32.58417,Negative
1103,16.971762,-57.766956,Negative
1104,-76.55386,-2.3882284,Negative
1105,25.583569,-58.038967,Negative
1111,-13.387966,68.77857,Negative
1113,44.863586,-41.863262,Negative
1115,-17.740597,-47.793697,Negative
1116,2.818142,-40.088394,Negative
1118,-9.95324,-48.926266,Negative
1120,22.583147,-52.4666,Negative
1123,39.08091,-34.515648,Negative
1124,-10.654879,-75.33894,Negative
1126,-19.821878,-61.858696,Negative
1128,54.462437,5.431475,Negative
1134,-74.76637,-2.3178027,Negative
1135,-45.2245,-32.46054,Negative
1136,46.344078,-37.600056,Negative
1137,12.602126,-40.10538,Negative
1139,52.057255,-25.905268,Negative
1140,-54.802628,-14.137604,Negative
1143,19.065067,-39.006706,Negative
1146,-62.11722,-9.358653,Negative
1149,45.844723,-37.64959,Negative
1150,-65.73329,23.950163,Negative
1156,51.285965,-28.039808,Negative
1157,27.080393,-59.740242,Negative
1158,2.069622,-31.153847,Negative
1161,-74.07227,10.277691,Negative
1162,-10.590038,-77.60591,Negative
1163,41.187233,-38.14608,Negative
1165,11.604454,-43.43599,Negative
1166,-45.309986,-30.257427,Negative
1172,12.808202,-57.795216,Negative
1174,6.8147445,-89.08249,Negative
1176,6.910478,-46.69367,Negative
1177,10.639648,-25.286427,Negative
1180,20.708073,-54.27824,Negative
1182,49.39808,-34.5737,Negative
1185,-10.499436,-79.4321,Negative
1186,8.828555,-87.13586,Negative
1188,-5.295573,-31.591658,Negative
1189,5.2585597,-41.09937,Negative
1190,-19.52511,-58.96785,Negative
1191,-66.335686,25.380363,Negative
1192,10.449604,-56.543232,Negative
1193,51.11413,-32.161,Negative
1194,-19.294449,-46.616577,Negative
1198,25.0615,-35.29425,Negative
1199,46.840828,-38.242622,Negative
1201,-48.575794,-26.951042,Negative
1204,0.7780839,-87.20267,Negative
1205,-15.421284,-45.25712,Negative
1211,28.306744,-59.544353,Negative
1212,13.173021,-39.21674,Negative
1213,-74.56988,-2.832118,Negative
1215,-12.337584,-55.21796,Negative
1217,3.4707668,-45.302544,Negative
1218,-12.005176,-73.10053,Negative
1219,18.167055,-54.502167,Negative
1221,10.490422,-58.982044,Negative
1222,-67.73916,23.372131,Negative
1223,11.760577,-39.241222,Negative
1224,22.761915,-37.35677,Negative
1226,23.244736,-31.504673,Negative
1228,24.194548,-49.09897,Negative
1231,-12.958469,-52.94654,Negative
1232,19.67035,-30.81614,Negative
1234,-69.32515,1.0083141,Negative
1236,-57.80554,-5.4410977,Negative
1237,11.13895,-57.446648,Negative
1238,-10.081905,-49.585255,Negative
1239,25.17259,-51.779953,Negative
1240,-15.453741,-61.369392,Negative
1242,27.08715,-37.049965,Negative
1243,-69.97619,-10.160692,Negative
1246,-70.310646,-1.2511415,Negative
1248,6.9523835,-89.805504,Negative
1249,-62.95352,-12.211648,Negative
1250,-13.115855,-59.673695,Negative
1254,-16.262821,17.111681,Negative
1256,-62.14323,-12.127863,Negative
1257,22.54653,-51.340218,Negative
1266,-55.37091,-22.03526,Negative
1267,-69.35032,-0.6104407,Negative
1268,51.568485,-31.673386,Negative
1269,6.196312,-34.206596,Negative
1270,-71.22374,0.25677606,Negative
1271,-44.37818,-32.43268,Negative
1273,-0.6460033,-56.820934,Negative
1274,-2.1561255,-29.908377,Negative
1275,-65.79797,23.958138,Negative
1276,-76.5631,-2.267172,Negative
1277,49.636555,-32.794186,Negative
1281,-65.69789,23.006355,Negative
1285,-3.140946,-77.20446,Negative
1286,32.53594,-34.26434,Negative
1290,-70.41263,11.503879,Negative
1293,-56.530334,-8.801343,Negative
1296,-72.6143,11.749606,Negative
1298,-16.785172,-46.872814,Negative
1299,-67.49463,21.845234,Negative
1300,7.9226694,-27.318403,Negative
1302,-49.612583,-5.003432,Negative
1304,25.567434,-36.233482,Negative
1305,23.582895,-32.398853,Negative
1307,-12.477718,-52.663597,Negative
1308,-73.39116,12.39225,Negative
1309,-14.450461,-61.988728,Negative
1310,-74.73257,-2.3561773,Negative
1311,-14.991058,-65.51691,Negative
1312,44.607315,-41.899704,Negative
1314,21.574627,-34.33775,Negative
1316,-67.32739,24.007969,Negative
1320,47.121513,-37.742004,Negative
1321,43.908867,-42.861088,Negative
1322,18.502789,-54.566753,Negative
1325,0.69391185,-32.86615,Negative
1326,6.6324935,-46.365395,Negative
1332,-56.32381,-21.466154,Negative
1333,-15.083336,-66.0835,Negative
1334,10.514918,-40.273792,Negative
1335,24.019075,-31.53031,Negative
1336,-17.365248,-48.02364,Negative
1337,4.9100046,-83.82486,Negative
1338,12.896041,-39.796875,Negative
1339,-10.929949,-33.169746,Negative
1340,-56.592728,-7.1505184,Negative
1343,-47.653053,-20.421804,Negative
1344,-64.43748,30.202364,Negative
1346,-42.181564,-33.368286,Negative
1347,-52.590153,-7.037661,Negative
1349,-66.620384,24.243883,Negative
1350,-64.70119,27.344818,Negative
1353,-74.230515,-1.8476377,Negative
1354,-65.35097,-2.5152352,Negative
1357,-56.168602,-21.622086,Negative
1359,-74.73213,-2.356181,Negative
1361,-71.731384,9.889909,Negative
1362,-5.067498,-33.096302,Negative
1364,-70.7989,-0.44559863,Negative
1365,-13.665301,-60.93742,Negative
1369,-73.88737,0.021840895,Negative
1370,-14.381839,73.0895,Negative
1371,-10.924545,-48.740494,Negative
1373,34.81851,-35.614353,Negative
1374,35.790237,-37.31254,Negative
1376,48.804333,-36.234512,Negative
1377,12.245301,-60.289963,Negative
1381,-70.17711,12.73196,Negative
1382,16.562683,-59.561016,Negative
1383,-71.099014,-1.7312117,Negative
1385,4.5116506,-48.08844,Negative
1388,50.658085,-30.564629,Negative
1389,12.1801815,-43.14294,Negative
1391,-19.625036,-63.829903,Negative
1392,-67.3524,24.083908,Negative
1394,-69.95186,12.831208,Negative
1398,-70.90212,-0.11122246,Negative
1399,6.5180497,-90.66877,Negative
1403,-67.46624,21.867289,Negative
1404,4.750405,-34.825954,Negative
1405,-69.59278,13.294353,Negative
1406,-61.553497,20.8817,Negative
1407,-67.48002,8.985021,Negative
1410,-70.58079,-2.0306013,Negative
1411,-15.561928,-45.342224,Negative
1412,-14.062421,-59.458515,Negative
1413,7.0288596,-34.972393,Negative
1414,-48.939137,-31.477589,Negative
1415,-18.534449,-47.701958,Negative
1417,1.0292476,-38.8531,Negative
1423,-61.583374,20.887444,Negative
1425,10.8436775,-86.98088,Negative
1426,-5.429656,-37.509636,Negative
1427,1.6794558,-32.21999,Negative
1430,4.6660194,-0.37392065,Negative
1431,-14.625276,-5.363672,Negative
1433,24.040792,-37.818005,Negative
1434,-15.807182,-45.762325,Negative
1435,48.561497,-32.99942,Negative
1436,-69.75694,7.9138327,Negative
1437,6.449653,-86.48662,Negative
1438,1.995893,-40.42017,Negative
1439,-73.25975,12.57723,Negative
1441,5.0278754,-33.206482,Negative
1443,-56.987656,-14.009441,Negative
1444,-74.19212,11.742245,Negative
1445,-47.48439,-27.51643,Negative
1446,-73.74283,-0.7900574,Negative
1447,-57.99754,-17.487968,Negative
1449,-75.44597,-1.3259201,Negative
1450,8.196927,-36.085777,Negative
1451,-72.998566,0.055980347,Negative
1452,5.678229,-87.41521,Negative
1453,12.657338,-41.059956,Negative
1454,-21.200396,59.178772,Negative
1455,-72.929344,-0.45938665,Negative
1456,-73.42876,-0.6987369,Negative
1458,-73.13339,-0.48212162,Negative
1460,-73.171715,12.71095,Negative
1464,-2.095218,-35.493103,Negative
1465,-71.529274,11.757616,Negative
1467,-69.739975,8.078494,Negative
1469,-70.76845,10.212131,Negative
1470,20.293087,-36.72141,Negative
1472,-3.5730827,10.374843,Negative
1473,-72.672226,13.750693,Negative
1474,-71.57849,14.991042,Negative
1475,13.888583,-57.59107,Negative
1476,3.0700467,-87.94152,Negative
1477,-65.41143,28.218988,Negative
1479,-64.69109,30.36252,Negative
1480,2.235413,-87.026955,Negative
1481,-71.333305,10.602588,Negative
1482,-64.949936,28.724186,Negative
1484,68.202644,2.9650576,Negative
1486,-71.263855,9.795124,Negative
1487,-69.60637,-9.901972,Negative
1488,-2.6931067,-83.68845,Negative
1489,-66.14646,24.892849,Negative
1490,-68.85786,0.83711684,Negative
1492,-72.02135,-0.34139296,Negative
1493,7.614657,-35.19009,Negative
1496,-2.3245385,-90.24237,Negative
1497,-56.61318,-16.651096,Negative
1498,-10.978215,-52.08579,Negative
1500,-18.375284,17.535673,Negative
1501,22.274853,-50.785706,Negative
1502,-27.47764,36.275185,Negative
1504,-15.317752,-60.36615,Negative
1505,2.6167688,-45.737415,Negative
1507,-65.79285,21.653847,Negative
1508,5.975873,-87.88944,Negative
1509,7.772719,-34.14813,Negative
1510,-16.970922,-47.272285,Negative
1511,48.022213,-37.437263,Negative
1512,-12.277387,-75.954346,Negative
1513,-15.20976,-62.24685,Negative
1514,-71.70423,-1.7193323,Negative
1516,28.406874,-38.926537,Negative
1520,-69.019844,5.3979406,Negative
1521,-73.3607,12.432669,Negative
1522,-75.00575,-0.56348336,Negative
1527,-71.60851,10.42949,Negative
1528,12.820906,-62.044086,Negative
1529,-3.288879,-36.100056,Negative
1535,11.540619,-42.220833,Negative
1538,-7.0977144,-75.2108,Negative
1539,-73.54792,12.097505,Negative
1541,-4.9260855,41.328785,Negative
1544,-41.645927,-14.243854,Negative
1545,24.815687,-55.26524,Negative
1546,-66.79422,22.411476,Negative
1547,52.532387,-31.263853,Negative
1549,19.913765,-50.804295,Negative
1550,11.42735,-42.721073,Negative
1551,-4.121507,-76.397285,Negative
1553,-74.88525,-1.8557353,Negative
1554,-68.59166,8.579634,Negative
1556,6.236742,-90.00674,Negative
1559,37.24659,-35.891037,Negative
1560,-70.83964,11.727489,Negative
1567,-74.557335,-2.8686116,Negative
1568,17.221647,-53.36146,Negative
1569,12.358191,-59.476505,Negative
1573,-15.276752,-52.294647,Negative
1574,-63.35776,-10.554726,Negative
1576,1.7317498,-32.20063,Negative
1579,21.598202,-51.048817,Negative
1580,52.970654,-28.698265,Negative
1581,-12.475984,-77.74671,Negative
1582,-19.76683,-61.33663,Negative
1583,3.8330467,-41.48752,Negative
1585,22.41141,-32.483013,Negative
1587,-13.330269,-61.060104,Negative
1589,-1.7294402,-86.252075,Negative
1592,2.6006753,-39.047813,Negative
1593,20.182058,-30.892237,Negative
1594,10.352091,-57.18704,Negative
1595,-1.9678798,-77.43495,Negative
1596,-10.919174,-78.06906,Negative
1597,42.384613,-44.418694,Negative
1600,-14.180849,-69.361565,Negative
1601,-10.458597,-79.71162,Negative
1602,44.21306,-42.456703,Negative
1604,-68.6447,10.303923,Negative
1608,-72.94885,11.568839,Negative
1610,-1.3444054,-34.66982,Negative
1611,-64.094185,-9.379142,Negative
1614,-68.22374,18.78727,Negative
1615,8.772426,-49.299267,Negative
1616,-13.256106,-42.008583,Negative
1617,-4.0807548,-76.28176,Negative
1618,-0.75143164,-90.165665,Negative
1619,-69.97615,12.489799,Negative
1620,5.7993484,-83.42276,Negative
1621,-75.24538,-0.83081126,Negative
1623,51.40008,-29.536863,Negative
1629,-59.771973,-13.7571535,Negative
1630,7.601986,-35.879734,Negative
1633,-1.1275532,-36.701847,Negative
1635,-2.23729,-91.38484,Negative
1636,-70.36423,12.863503,Negative
1637,-70.03109,14.703544,Negative
1638,-73.01619,14.46749,Negative
1639,-14.470025,-67.995094,Negative
1640,-72.31862,-1.9408197,Negative
1644,-8.1742,-51.54194,Negative
1649,18.523182,-30.799011,Negative
1651,4.667886,-47.09568,Negative
1652,-10.766665,-73.76449,Negative
1656,-64.5329,29.851778,Negative
1657,27.276173,-37.51499,Negative
1658,-66.001686,24.606995,Negative
1659,-1.4649158,-35.57601,Negative
1660,46.290646,-35.08109,Negative
1661,-73.161736,-0.26570156,Negative
1662,0.5959511,-87.02159,Negative
1663,-11.327664,-48.4144,Negative
1664,-68.45187,19.36701,Negative
1665,-71.02655,0.30998853,Negative
1666,-46.13306,-18.026825,Negative
1671,-2.8226318,-83.64421,Negative
1675,-68.98504,5.015923,Negative
1679,-71.97275,14.497142,Negative
1684,-71.97274,14.497143,Negative
1686,-67.706696,-9.369042,Negative
1687,3.2871482,4.513387,Negative
1690,-69.46687,-3.3272743,Negative
1696,25.807053,22.530876,Negative
1699,-68.965034,18.742704,Negative
1706,-64.11715,30.597189,Negative
1708,-64.769455,30.551449,Negative
1709,-71.57487,9.79445,Negative
1710,-75.5568,0.07311435,Negative
1711,-64.74096,30.608967,Negative
1713,-57.148296,-15.998473,Negative
1714,11.946826,-39.80265,Negative
1720,-14.105145,-47.28477,Negative
1721,-69.12849,-9.283275,Negative
1722,-64.796844,29.698145,Negative
1723,-70.597435,0.7649372,Negative
1725,26.285412,-53.95374,Negative
1726,-0.05845466,68.036575,Negative
1728,-4.4442005,-36.629097,Negative
1729,-71.54622,15.029007,Negative
1732,-74.86055,-1.7112335,Negative
1733,-8.36157,-74.56277,Negative
1742,-75.285934,-0.88243264,Negative
1743,19.626913,-50.27965,Negative
1744,-24.848934,49.631752,Negative
1746,-11.766528,-54.702946,Negative
1749,-3.058008,-29.624126,Negative
1750,25.286522,-38.016758,Negative
1752,-70.289925,13.312396,Negative
1755,-64.38453,25.37945,Negative
1756,-68.587715,8.769985,Negative
1757,-67.03622,21.843761,Negative
1759,-64.539314,30.867094,Negative
1760,4.4107885,-41.986076,Negative
1763,9.606038,21.320545,Negative
1764,-17.416584,-48.16841,Negative
1767,20.334505,-54.929787,Negative
1772,25.057274,-60.737247,Negative
1775,8.059674,-86.50635,Negative
1777,17.239977,-52.75952,Negative
1778,-12.378174,-52.041668,Negative
1779,-14.16274,-44.07363,Negative
1780,-11.763653,-53.343327,Negative
1781,-68.842896,-7.3195167,Negative
1783,-64.64303,28.930283,Negative
1784,-55.539673,-13.936987,Negative
1788,-10.958008,-50.459972,Negative
1789,-8.409355,-51.95368,Negative
1790,-65.43351,-2.2833652,Negative
1792,-14.169729,-61.257763,Negative
1793,-71.58217,14.98803,Negative
1795,-4.090454,-76.28829,Negative
1797,14.028368,-62.417038,Negative
1800,-8.467124,-73.612236,Negative
1802,18.371593,-38.584305,Negative
1803,-71.46258,13.040884,Negative
1805,-65.432976,-9.969495,Negative
1806,9.74242,-87.39582,Negative
1807,8.510252,-88.47688,Negative
1808,23.707792,-55.21787,Negative
1809,-9.263971,-49.80974,Negative
1814,-0.59767115,-87.991264,Negative
1815,9.519506,-59.549717,Negative
1817,-68.21507,-7.7412577,Negative
1818,-1.1366079,-91.03826,Negative
1819,-2.7910244,-36.482338,Negative
1821,-19.866209,-61.95637,Negative
1822,2.1686337,-45.439285,Negative
1823,3.0877647,-89.33719,Negative
1824,-14.39901,-60.244007,Negative
1825,25.94043,29.611506,Negative
1827,7.211971,-38.55039,Negative
1828,-11.757673,-45.609795,Negative
1829,-12.729298,-57.4123,Negative
1833,-2.6644623,-76.5913,Negative
1834,-12.49776,-73.16596,Negative
1835,-6.407275,-36.81579,Negative
1837,6.6916294,-90.183846,Negative
1838,-1.2555324,-35.923725,Negative
1839,-12.817661,-72.86539,Negative
1841,-74.23792,-0.66137874,Negative
1842,-58.136806,-14.202204,Negative
1843,1.2822123,-41.35705,Negative
1844,-11.900702,-6.0022054,Negative
1845,71.95032,5.839915,Negative
1847,-15.606875,-65.30877,Negative
1848,-3.8826354,-36.172916,Negative
1849,-14.391524,-65.0379,Negative
1850,7.637616,-33.611298,Negative
1851,-17.598751,-50.504166,Negative
1853,10.8392725,-86.97597,Negative
1854,47.071507,-35.672943,Negative
1855,32.734665,-33.082485,Negative
1857,6.97426,-36.876213,Negative
1858,10.728259,-86.94507,Negative
1859,-15.761673,-60.67687,Negative
1860,-62.94202,30.316978,Negative
1861,2.5810378,-39.66461,Negative
1863,16.948421,-53.047947,Negative
1864,5.1007338,-84.33039,Negative
1867,17.87751,-57.10236,Negative
1874,72.2408,12.879959,Negative
1878,28.644773,-38.525757,Negative
1881,17.583927,-54.437057,Negative
1884,-20.797129,-60.66783,Negative
1887,23.333164,-36.964375,Negative
1888,-13.7568655,-62.6057,Negative
1889,28.963728,-39.245346,Negative
1890,26.370987,-57.4975,Negative
1891,-19.710836,-60.761246,Negative
1893,12.203712,-42.08851,Negative
1895,20.25368,-36.82909,Negative
1899,-68.92064,17.683102,Negative
1901,-72.028984,14.47783,Negative
1902,7.547803,-86.54699,Negative
1905,-3.8211904,-30.153078,Negative
1906,-69.15572,5.753486,Negative
1908,-69.1611,18.669937,Negative
1909,-20.67581,-61.1165,Negative
1910,-45.850002,-16.47207,Negative
1911,-51.388298,-3.0450394,Negative
1912,1.476736,-85.6027,Negative
1913,-55.27251,-22.605774,Negative
1914,6.2969913,-89.62782,Negative
1916,36.955166,-33.62094,Negative
1917,35.551228,-2.896124,Negative
1919,26.463541,-59.635555,Negative
1922,72.20176,12.778949,Negative
1924,-15.679155,-64.56626,Negative
1925,-69.02161,18.147522,Negative
1927,50.982788,-31.461306,Negative
1928,-15.377764,-51.54674,Negative
1929,-7.115393,5.48225,Negative
1930,-66.05197,24.561245,Negative
1931,-13.084323,-62.18532,Negative
