raw,cluster,s
I saw this trying to start a nest on the eve of my garage door. I hit it 3 times with a broom until it finally left. I have not seen it since then. It was 1 1/2 to 2 inches in length.,[1],Negative ID
I can’t find a picture but these are definitely non native hornets. I think they’re European hornets. 2018 is the first year I started seeing them. Some bee keepers store hives on our property. I might have a specimen and will send a picture if I fin,[0],Unverified
No photo.  Was large hornet with orange/yellow head,[1],Unverified
"I killed this in my back yard a couple years ago. Didn’t think anything of it until I just read your article. Not sure if it’s a Asian giant hornet, but figure I would share.",[0],Negative ID
Several huge wasps flying around our rooftop deck area. Bigger than usual as we had a nest last year to compare too.,[1],Unverified
It was the only one located and was put into a pickle jar - the hand holding the jar is an adult females hand,[0],Negative ID
It was very large and distinctive. I am allergic to bees so my first instinct was to get away not take a picture unfortunately. I have never seen such a large bee.,[1],Unverified
"I think I had two of these in my yard this last summer. I do not recall the exact date or time, just late summer on a weekend getting the yard ready for fall. I couldn't figure out what it was and didn't look like a mud wasp or anything I had seen before",[1],Unverified
Over the last 2 Summers I have notice a large hornet nesting in the ground where a garden was located.  They look similar to the Asian Hornet and do not seem aggressive.  These ground nest are next to a home and would prefer to have them erradicated if p,[0],Unverified
I saw similar bees to this pictures yesterday when I was outside in my yard.,[1],Unverified
Saw a few flying around my house at separate times. They were huge so I looked them up. . Meant to call last year but got distracted.,[1],Unverified
A giant wasp landed on my arm while I was walking on mallon street. I quickly brushed it off as it landed but I was massive with a big orange head and I remember thinking I've never seen a bee with such huge orange head.,[1],Unverified
THIS DATE IS AN ESTIMATE. IT WAS TWO YEARS AGO DURING THE SUMMER. IT DEVOURED A BEE IN FRONT OF ME WHICH IS WHY I REMEMBER IT. I WAS SHOCKED BUT DIDN'T KNOW WHAT IT WAS? THEN I SAW THIS ON THE NEWS..,[0],Unverified
i read the article on them about a week ago and noticed these abnormally big looking bees outside my window and made me curious because they were messing around with the small looking hives i have seen before that are usually around houses. i did not not,[1],Negative ID
"I live on the Saanich Peninsula of Vancouver Island.  Last fall, roughly late September, I saw one of these in my garden and made note of it in my garden diary.  I have lived in the PNW for over 60 years and have never before come across such a remarkabl",[0],Unverified
Seen twice last few days,[0],Unverified
Flying past us near our house. Did not find a nest. We have many wild honeybee nests all around us. Last year found a huge pile of honeybees in our pasture dead and dying on the ground. I do have pictures but will have to search for them.,[0],Unverified
"Had a hive that was starting to do its spring activity.  Yesterday, no bees anywhere.  Still lots of honey in the hive.  Could this be the Wasp?  On the county line Snohimish/Skagit on hwy 530.",[0],Unverified
"I saw the very large hornet ""sniffing"" around one of my potted climbing roses. I live on the 9th floor of an apartment building in Bellevue, WA. We are East facing over the 405 freeway near Bellevue City Hall. It was so large it was rather startling and",[0],Unverified
Was dead on the ground..looked like it had Larvae.  Large park across the street,[0],Negative ID
"Saw this one who spent the morning either on the dirt or flying under my house, back and fort.   My wife was alarmed and gave me the electric swatted.   I went out and zapped it a few time before it quit moving. I remember seeing a giant stinger and was",[1],Unverified
"My initial thought was, ""this looks like a huge bumblebee. It was sluggish, appx. 1.25"" long, and I moved it from patio to lawn.  I don't believe it's the Asian hornet, but would like to know if you can identify it. Is it dangerous?",[1],Negative ID
Saw a giant hornet flying near our porch. Did not bother us but was investigating an area where we commonly have other wasps.,[1],Unverified
"My girlfriend was digging a flower bed behind the house and one of these giant hornets came out of the dirt and flew past her, it looked like it might have been a mole tunnel that it came from.",[1],Unverified
"Sorry, we don't have a photo, but my husband and I were sitting on our deck in Sammamish and a VERY large bumble bee flew around us for several minutes. It was bigger than any we've seen before. Then on Saturday night, we had to take our dog to an emerge",[1],Unverified
"Over an inch long. I have single-paned windows and I only noticed my window thumping because I thought it was wind. It was this bug flying into the window repeatedly. I thought the time of day was strange, along with it’s size. It was not not skinny.",[1],Negative ID
it was bumping around my house.  (I'd left the door open). I caught it in a glass to release it and thought it was so weird looking I'd save it to show the grandkids but it was so angry I released it.  then THIS morning I saw the information identifying,[0],Unverified
"Very large wasp that landed on my window ledge, see picture.  I did not know at the time to look for an orange face, I don't know what the face color was.  The window ledge is about 3 inches",[1],Negative ID
"Couldn’t get a photo. It was 0.5-1�?long and looked like a bee, not as much like a wasp, but not one I had ever seen before. It was buzzing around in a back corner of our yard close to the ground",[1],Unverified
"I am a geologist, was working on a geotechnical exploration in Fife and an asian giant hornet came up to inspect me and landed momentarily a few feet away. I did not realize they were invasive at the time but feel positive in my identification because I",[1],Unverified
"Saw this beast (fo sho!!) in our sun room last summer. It flew in, I freaked and it flew out. Recognized from TV show.",[1],Unverified
"I am not sure what this is, but I saw this on my living room wall one evening.  I had returned from visiting my daughter in Tx  on Feb 11, 2020,  who had been in Thailand in January.",[0],Negative ID
"I was watering my plants at the windowsill when I heard a buzzing sound and a giant wasp was flying around the window and actually bumped into it. It was hovering for about 10-15 seconds before flying away, and before I could capture a photo. I was compl",[1],Unverified
"Walking in our field observed these bugs hovering around the ground, & then going into holes.  I’m not sure they’re Asian hornets, because they’re the approximate size of a honey bee.",[1],Negative ID
I saw it on my back porch screen door. However it flew off before I was able to take a photo.,[1],Unverified
Looked dead or dying. Pretty sure it was an Asian hornet. Had the reddish/orange color and was in about 1.5 inches long,[1],Unverified
"I tried to report some sightings a few years ago and nobody got back to me.  I used to deliver packages for FedEx and there is a street where I saw one of these on 3 different occasions.  Don’t have a photo, but I describe as huge and dark orange.",[1],Unverified
"Our AWESOME dog caught and chewed this monster hornet, so it has saliva and mud on the body. My son severed the neck - as it was writhing. I have saved it to submit if someone wants it.",[0],Negative ID
"Photo taken August of 2013 at Moran State Park. Massive hornet/wasp whose stinger was close to an inch long. In the photo the stinger is kind of hidden behind the wing, but the stinger extends past it a bit.",[1],Negative ID
Was sitting still on the porch upper eaves about 4 feet from an actively yellow jacket hive being built it was the biggest bee I have ever seen with the orange color. I didn't realize what it was,[1],Unverified
The stinger was half as long as the body. It hovered over me as I sat there. The head looked like it had a small helmet on. Then it flew away.,[1],Unverified
This bee is larger as a normal bee,[1],Negative ID
In Ephrata Washington,[0],Unverified
The suspected Asian hornett was 1.5 inches long and resembled the photo on your site.  I definitely was snot any of the other pictures shown.  It came into the room when I opened the sliding screen and stayed on the screen until I shooed it way.  then it,[1],Unverified
"Not Asian Giant Hornet but large, different than I have seen in West Seattle and hard to kill, so here it is.",[0],Negative ID
"I saw this huge hornet in my backyard. I’ve never seen a hornet like that before (WA native). It was huge. I sprayed it with my hose and tried to kill it, but when I came back outside later it was gone.",[1],Unverified
"This bee was at my hummingbird feeder. I wasn’t able to get a very good photo, so it might be impossible to tell.  The bee looked particularly large and reminded me of one I saw about a month ago but was unable to photograph.  It landed on my kitchen w",[1],Negative ID
"Hornet not seen, but we have a dead honeybee hive.",[0],Unverified
"I heard a loud buzzing and my first thought when I saw it moving across the room was large horsefly (I didn't have my contacts in), but it was bigger than that. I followed it from my bedroom into the bathroom where it flew into the shower (I live in an R",[1],Unverified
"Size of a bumble bee, but it wasn’t so I took a closer look, alarmed by its size. I’ll try to get a photo tomorrow.",[1],Unverified
I was told to send this to you guys even though it was 2 years ago. I've seen about 3 since then around george and quincy area. I had no idea we werent supposed to kill them.,[0],Negative ID
Trapped this one,[0],Negative ID
"nested in an old tree stump. while trying to remove the stump I was stung by one. it was the biggest bee I had ever seen! as long as my thumb. I had pest services in for removal/poisoning. I tried to get pictures, but they immediately retreated in deeper",[1],Unverified
It is very near the house but in the dirt.  It seemed to be looking for something in the dirt.,[1],Negative ID
"Possibly two individuals in Marysville, WA. One flew by and one then one was on a rhododendron (coul have been the same one as I didn't see the first one land). Went to grab my phone to take a pic but it flew away. I am very familiar with other stinging",[1],Unverified
"Hornet was seen flying near our patio, tried to grab a photo but they are quick!",[1],Unverified
"Very large hornet, yellow face with black thorax and bright yellow stripes.  About 1.5 inches long. Flew back to Canada after buzzing my vehicle while I was parked.",[1],Unverified
"Found this in my horses water tank near  Trinidad, Wa.",[0],Negative ID
"It is a little over 1 inch, and I doubt that it is an Asian Giant Hornet. However, it doesn't look enough like what I am familiar with.",[1],Negative ID
"Two sightings this week, 918 38th st. BELLINGHAM, WA",[0],Unverified
"Larger wasp size, orange head with loud buzzing",[1],Unverified
"Glengary Rd, Bellingham, WA. There is a big bee nest appeared out of nowhere on top of the mail box.",[0],Negative ID
It was about 2 inches long and had a really big yellow face. Unfortunately I didn’t get a picture as he moved on pretty fast.,[1],Unverified
I have seen them around my for the past couple days.,[1],Unverified
Siting in Berthasen park near Lynden WA,[0],Unverified
Much bigger than a Yellowjacket we s aw at the same time. Around 2 inches long,[1],Negative ID
"While looking at water fowl in a neighborhood storm overflow pond, about 4 ft away, 3 ft off the ground I briefly saw a 1-2�?“something�?fly fast and without sound along the inside of a black coated chaine link fence seperating the pond from E Warn",[0],Unverified
All black at least two inches long with visible stinger. Seen twice two years ago in same location. Single hornet chewing on wood fencing 10-14ft from Creek with dense blackberries along most of the Creek.,[0],Negative ID
"Saw a bee that looked like the picture in the Bellingham Herald. I did not notice if it had a skinny waist but it had pronounced striping on the bottom half and a vivid yellow at the head. It was at least as large as bumble bees, likely larger.r.",[1],Unverified
Twice now I think I've seen this Asian Giant on my property.  I would like traps put on my property.,[0],Unverified
It was hovering by a compost.  Also one spotted by veg garden hovering by weeds.,[0],Unverified
Pictures don’t de justice. Face was orange and wasp was size of thumb.,[1],Negative ID
Found in our tent we set up in our yard. There were two and they caught our eye because they were so large. Unsure if they are so figured I would report just in case.,[0],Negative ID
"1.5-2 inches long, all black with one small yellow marking on its body. Long wings. Looks like it was trying to eat a spider. Probably not Asian wasp, due to the lack of yellow head but after it was smushed with a shoe, it had a giant opening where it�?,['inch'",[1], 'black'
"Large and wide, yellow head, black body with yellow stripes big black eyes Was sitting on one of our Adirondack chairs, wings were back and it was sitting very still.  Didn’t look like anything I had seen before, I hit it with a fly swatter and it look",[1],Negative ID
Was trimming the hedge right on Highway 20 when a half a dozen bees chased 2 large flying wasps (2 inches) from my driveway area to the end if the hedge and back again...all happened in just a few seconds...no pictures...yes I will trap for you...,[1],Unverified
"I saw what might be these pests yesterday and one today: a bunch of large, yellow-orange bee-like creatures - far too bright to be actual bumblebees and too fuzzy to be wasps - were flying around Ben Burr park in Spokane, WA (the way they float when flyi",[0],Unverified
Several large hornets have been seen on the property in the last few days,[1],Unverified
"I'm not certain that what I saw was one of these hornets, but it seemed slightly larger than a regular wasp - we have them in the yard too, but I'm raising mason bees and this wasp/hornet in particular has been very aggressive toward our mason bees, even",[0],Unverified
set trap,[0],Negative ID
"hi, I was out on a walk this evening in the trail between the Beaver Lake ballpark/dog park and Beaver Lake when a very loud angry sounding wasp-like insect circled me. when it continued, I turned around and walked away and it left me alone. I spotted a",[0],Unverified
Last couple weeks I've seen a lot of agressive large bees on my property. My address is 11012 Havenwood Road SW Port Orchard 98367,[0],Unverified
I found this dead outside of my business years ago.,[1],Negative ID
Was attached to my window at work.,[0],Negative ID
Black face. We have it captured alive if you want it,[0],Negative ID
When I was fire chief in Connell Washington for 3 years in a row I observed what believe to be giant asian hornet harvesting insects out of the trees in front of the fire station,[0],Unverified
Large aggressive hornets going into ground give in my backyard near retaining wall. Was not there last summer. Did not get picture. Did not know they could kill humans. Please advise. Thanks.,[0],Unverified
My dog ate one and threw it up in the house,[1],Negative ID
"Approx 2"" long was yellow and black. Did not get a good look at its head. Was much larger than the yellowjacket queens that are out and about. It perched near a yellowjacket trap we have out then bounced off the living room window a couple of times and f",[0],Unverified
Found at our front door. Curious what it is.,[1],Negative ID
It came in our bedroom window which was open with the light on and it was  about 30�?above ground,[1],Unverified
Please advise. Can't get a good photo. I don't want to get too close.,[1],Unverified
I’m not sure if this was a giant Asian hornet but it was GIANT!,[0],Negative ID
It was in our back yard in Lacey WA,[1],Negative ID
I picked up a rock and it flew into my armpit and stung me.,[1],Unverified
"2 flyby passes observed through second story south facing window, +/- 2"" flyer",[1],Unverified
The ones in our location resemble huge orange looking hunny bees.,[0],Unverified
was resting on a laural bush about shoulder high next to my shop.  Was going to try to catch but it started stir to leave.  There's a bench near that had a couple 2x4 blocks so I grabbed them pushed one under the leaf and clapped the hornet with the othe,[1],Unverified
I think it may be an elm sawfly but I figured I would submit to be sure. I have a few more pictures. It’s body length was greater than an inch. Looks like a hornet to me.,[1],Negative ID
I had my back door open and it kept flying in. I got it out 3 times but it kept coming back. It was the largest bee I had ever seen. It kept getting close to me and my little dogs so I swatted it. When it fell I could see that is was almost as fat as my,[1],Unverified
"I killed it, but I still have it. It is 1 1/2 inches long",[0],Negative ID
I am a former resident of Clinton Washington. During the last two years I was there I saw huge hornets. I do believe it's of note that unusual Hornet was spotted. If they have indeed been established that long? That could be extremely problematic to the,[0],Unverified
Seen in the Sudden Valley of Whatcom County. Only 1.,[1],Unverified
"I have since moved, but I observed the hornet in woodinville last summer in July or August 2019. It was exactly as described and I immediately took notice of its body length being almost 2 inches. I was the largest hornet I had ever seen and it was freak",[0],Unverified
I saw on the trail/walking path near Lake Chelan River Reach,[1],Negative ID
"There was a large waspin my garage yesterday, and was easily the biggest one i had ever seen. It was about 2 inches long, mostly black, it was dark in my garage so i did not see much orange. We opened the door to let it out and it flew West. It could hav",[1],Unverified
I saw it crawling under the wooden stoop at my door from the covered porch. Unfortunately I didn’t have my phone with me to photograph,[1],Unverified
Killed near commencement bay in tacoma.  Was NOT a native hornet.  Orange stripes but not day glo like some wasps. Enormous and frightening. Not a yellow jacket queen but slightly larger w weird eyes and distinct tiger orange stripes.  Widen your trappin,[1],Unverified
"I encountered an insect that looked just like this on Patos Island, just north of Orcas Island. It was the largest bee I have seen, aggressive, mostly black but with the orange coloring. I was really surprised because it was not a beetle, june bug and se",[1],Unverified
Saw one this morning digging into the dubry under some bushes noticed the orange strips,[1],Unverified
Had very large hind legs w no hairs,[1],Unverified
Had very large hind legs w no hairs,[1],Unverified
Very large hairless legs,[0],Negative ID
This hornet came flying by us and around us when we were in our back yard swimming pool. I have More pictures and a  video of it as well if needed please send an email or call.,[0],Negative ID
"I saw two of these fighting (?) at the Judd Creek Loop Trail, didn't know what they were, and took a video. I've uploaded it, and hopefully you can see it. FYI, there is a high pitched frequency playing throughout the video--some weird fluke with my phon",[1],Unverified
"Seen 2, 2 inch long Hornet late summer last year in my back yard. Hovering and flying kinda slow and heavy.",[1],Unverified
"The date is a rough estimate. I did not have a phone near me. I was standing right next to our tall hedge, so it was almost eye level. The hornet was sitting on top of the hedge. It would have fit across the back of my hand and it was so thick. I stared",[1],Unverified
Extremely large looking bee so I thought,[0],Unverified
"In a small field next to the Boeing Harbour Pointe Tech Center, I observed these giant hornets going in and out of tunnels in the ground.",[0],Unverified
"(2) discovered on property. 1st one captured, now deceased, in mason jar (still have it). 2nd one spotted today 5/2/2020, killed on sight.",[1],Negative ID
Hornet was very large/2 inches long. I was gardening and noticed a perfect hole in the ground about the circumference of a pencil. I flooded the hole with water and a very large hornet came out and was struggling on the ground. Another hornet came out to,[0],Unverified
"904 12th Street, Bellingham WA 98224. For 1 or 2 warm days, my husband and I saw a very large bee with yellow head among plants our back yard, and remarked that we had never see this type of bee before. We have not seen any since then",[0],Unverified
99% sure I saw one on Fox Island at a BBQ last summer.,[1],Unverified
It was unmistakeable due to it's size and girth.,[1],Unverified
I was driving down a busy street when I heard a huge thud sound and looked at my dashboard to see a Huge  hornet sitting on my dashboard passenger side. I pulled over to observe not knowing what kinda bee would be this big and it flew back out the window,[1],Unverified
"It was one 3 inch- long black and greenish-yellow striped, hairless wasp with huge head, black thorax and eyes, resting on a fence post in a field of grass and sagebrush\",[0],Unverified
I live near Grace Cole Park in Shoreline. A few days ago I was walking in the park with a friend and came upon what looked to me like the giant hornet. It buzzed my friend and she just swatted it away.  We looked at it on the ground and discovered that i,[0],Unverified
I understand there may be AGH traps that can be made to catch them--how do you make it?!  Thanks--john,[0],Negative ID
Never have seen a bee like this and I have lived in Washington my entire life.,[1],Negative ID
It was hovering around my lit flood light and started attacking my dog. It was the biggest bee I ever saw and looked very different with it’s odd head. It kept slamming into my light. It was really loud and almost made it inside when I let my dog in. I,[1],Unverified
It was around this date. There was two in my car as I was waiting at the link station and it was late in the evening around 7pm. We were able to kill one and didn’t know what it was and thought it was a big bee but seeing the pictures now is what it lo,[1],Unverified
"This hornet was noticeably bigger than any hornet I’ve seen in WA, body was orange, maybe a bit reddish along with black. It was hovering low to the ground as we were crossing a bridge over a creek. I looked it up today since it was so different than a",[0],Unverified
East Bremerton Kitsap county,[0],Negative ID
No picture-but I wanted you to know I saw one in Prosser last June. I looked it up then and it was an exact version of the pictures I found. My parents live in the country surrounded by orchards.,[1],Unverified
"My friend exclaimed �?Wow, I just saw a huge bee fly under the wall of your house ! �?,['friend'",[1], 'Wow'
it was about two inches long and flew really slow. The neighbor seen one later that year also who lives about a mile and half away. Only one I've ever seen and I took pictures because it was so huge.,[0],Negative ID
It was huge with an orange head.,[0],Unverified
"A huge wasp stung my friend, she was dropping off some items she makes and just as she stepped out of her car, she was stung! She said it really hurt and burned. She had to shake her coat off and take it completely off because it really hurt & burned. It",[0],Unverified
"I saw a hornet of this size nesting in ground of Harbor Point Office Park, Mukilteo, WA parking lot in the summer of 2019. Actually what i saw was more like a paper wasp, as shown on your website, but the size of it freaked out all of my colleagues. I di",[1],Unverified
About 2 inches. I put my face  8�?from it to inspect it because I’ve never seen or heard of anything like it. Was about to take picture when husband squished it against foundation with shoe. We have lots of guts if you want dna. Wings were tight to b,[0],Unverified
We found this guy eating our rhubarb plant last year. It was the biggest stinging insect I have ever seen. I looked it up and they said it was an Asian Hornet and it was harvesting my rhubarb leaves as nest building material. We took pictures so I could,[1],Negative ID
"Dear Sir, Madame, excuse me but I have not seen any of these giant hornets.  Instead, I want to suggest an approach to protecting honey bee hives.  I have see several program originating in Japan about the damage these large insects can cause thus my con",[1],Unverified
"I am a ""bee"" person. Allergic to stings I am well aware of the kind of bees around me. Last August standing at my kitchen sink, the biggest hornet I had ever seen flew past my window at eye level. I was alarmed at how large it was at least an inch and 3/",[1],Unverified
"Larger than normal, several were on our kids playset.",[0],Unverified
"While working in my garage woodworking shop, I notice a large hornet with a unusual yellow/orange face fly into the my work area.  It appeared lost and since it wasn't bothering me I left it alone and ignored it.  I don't know if it landed and died or fl",[0],Unverified
"When I was camping in 2011 at Cape Disappointment, near Ilwaco , I was walking back from the beach with my son. We spotted a Giant Hornet resting on one of the trees there. I tried to get a closer look, but it flew off before I could. I had tried in vain",[0],Unverified
"Stung me. Chased me and stung me. Big bruise, pitted crater  like abscess. Took 10 days to heal. Hurt sooo bad! In ground nest I couldn't locate. But on my property near wild rose bushes. No photo sorry",[0],Unverified
Vancouver wa,[0],Unverified
found inside house. Certain it was an Asian giant hornet. Flew out of the house eventually,[1],Unverified
"The images I am attaching are from last summer. (Aug 2019) These were ground-burrowing insects. Images are poor (cell phone) quality, taken from a distance of several feet away. Lat/Long is from google maps; it is my parents-in-law's back yard.",[0],Negative ID
It was sitting on a table on our back porch. It flew over me and around our back yard. I've seen it twice in the past week.,[1],Unverified
Found one in the backyard. Looked dead but I think it was just cold from the night. I picked it up and transported to the garbage can to keep the kids away from it. It started moving so I squished it.,[1],Unverified
A single hornet flew up to my hummingbird feeder then promptly flew away. I happened to be sitting on my desk looking at the feeders so hot a pretty good look at it from 15 ft away. Immediately noticed the size and large orange colored head so as fairly,[0],Unverified
"I saw the hornet in my garden. It had landed on one the side posts and almost appeared to be eating the wood. I called my boyfriend over to look at it because of how distinctive it looked. Shiny, large and almost something out of a kids movie. I didn’t",[1],Unverified
There was a article in google news about these hornets just sited.  I caught this hornet close to two years ago in Rainier Or.,[0],Unverified
Something flew by me that was very loud and big. I did not get a good look but I would say it was 1-2�?and too big to be your typical large bee. I have never experienced a bug this big and loud so I assumed it must be some type of miniature drone. Afte,[1],Unverified
Not 100% positive. It was very large. Flew in through my back door and came upstairs in evening. Found on the underside of a child's stepstool in morning.,[1],Unverified
"Put out bag type trap with bait for Hornets/ Wasps on patio. Quickly had a large swarm. As we watched, Very large Wasp ? kept swooping in and hauling away the smaller one's. Had not ever seen wasp this big and did not see any in 2019. Quite fascinating t",[1],Unverified
Noticed giant hornets on my way up the mountain.  They could fly very fast.,[0],Unverified
Flew in my slider from my dining room. Had screen door open!,[0],Unverified
"This was inside my apartment, I was so scared of it i think i injured it but it landed in an enclosed container so i dumped it outside, I noticed that someone else has reported one in the neighborhood also, just so you know i text my mother about it on N",[0],Unverified
We had a small hive of these Hornets move into ournsand stock pile near Issaquah. They were not aggressive and we were able to spread the sand kill them. We haven't seen any so far this year.,[0],Unverified
Sounded like a huge Bumble Bee.,[1],Unverified
lol lo,[1],Unverified
