,raw,cluster,s,pol,sub
16,"The large size caught my attention.  I took a number of photos at the time, but haven't located them other than one I sent to another person.  It is still on a text message on a phone I do not use anymore.  Just looked it up and it appears to be what you",[0],Unverified,0.04464285714285714,0.4017857142857143
17,These wasps visited my garden daily throughout the summer. They hunted particularly on my flowering Oregano plant.  They typically were there from mid morning to early evening. I’ve seem at least 2-3 there at the same time.,[0],Unverified,-0.02857142857142857,0.2369047619047619
18,"Not sure if this is the target pest, but I figured we would send the picture in for examination. The head came off when we removed the pest from the cowling on an engine.",[0],Negative ID,-0.25,0.8888888888888888
19,not sure if this is one. but in case it is. Saw it at Bayview farm and garden nursery on Whidbey Island,[0],Negative ID,-0.25,0.8888888888888888
20,"We've been noticing big, red hornet/wasps that live under the stone path in our backyard last summer. We didn't have an ID on them until now. No current photo unfortunately.",[1],Unverified,-0.06060606060606061,0.3444444444444444
21,"We were at Skyline divide in 2016, I got the time and date from pictures taken during the hike. I didn’t put 2 and 2 together until today, up until then I thought I just got chased by the biggest, meanest hornets in the world that day, but hey, it’s",[0],Unverified,0.0,0.0
22,"Observed flying around my porch. Hovered in place like a humming bird while facing me. I tried, but was unable to snap a photo.",[1],Unverified,-0.5,0.5
23,"I am fairly confident this is what chased me around my pasture yesterday.  It is as huge, fast, and incessant.  I even smacked it hard with my cell phone, which stunned it, then it came back at me.  I was out checking my raspberry rows.  It didn’t stop",[1],Unverified,0.16166666666666668,0.575
24,"Unknown if this is our invasive species, but its a growing colony right above the sidewalk on the concrete support wall for the Highway 99 overpass over Cloverdale, on the northwest corner.  Definitely a hazard to pedestrians regardless of species.  Didn",[0],Unverified,0.06714285714285714,0.40714285714285714
25,It stung me through a paper towel,[1],Unverified,0.0,0.0
26,We live on the coast and are familiar with the bees and wasps in our area. We are outside most of the day until night. We kept remarking about a strange huge bee buzzing around that was orange and we’ve never seen before. I have no picture but will try,[1],Negative ID,0.2268939393939394,0.43333333333333335
27,Not sure but this this was huge and never seen it before around my pond,[1],Unverified,0.07500000000000004,0.8944444444444444
28,"I live in Newcastle, WA and found a dead one on my front porch. I will leave it there if you want to confirm",[0],Negative ID,-0.03181818181818183,0.45
29,"Saw this big bee on my back deck, tried to look it up but I couldn't find a match.  Very large and in my entire life I have not seen one like this in Washington state. Thank you.",[1],Negative ID,0.06964285714285715,0.32053571428571426
30,"My husband and I were walking in the Orting Trail between Sumner, Puyallup and Orting when an insect buzzed past my head. It was larger than bees or flies I had seen before. I joked that “whatever it was it just darkened the sky for a bit�? I was jok",[1],Unverified,-0.125,0.375
31,Orondo State Park - near the apple orchards.,[0],Unverified,0.1,0.4
32,I had arrived at the Ephrata gun ranger's 25 yd handgun bay. While I was offloading my gear and equipment I noticed a large orange headed beeline wasp flying around my vehicle. It lingered around my vehicle and myself. Realizing it could be the Asian hor,[0],Unverified,0.10714285714285714,0.21428571428571427
33,It was a very large orange hornet about 2 inches. We were sitting down grilling under a tree near John Day dam when a large orange hornet fell onto the ground trying to fly bit it couldn't. I killed it in fear for my young children running around. It was,[1],Unverified,0.1624716553287982,0.4249433106575964
34,"2 of these things were landing in front of my house, and went into burrows into loose dirt in front of the house.  They were about 1.5 to 2�?long with orange/yellow heads.  I squashed them both, and flattened out the mount of dirt next to burrow.  I ju",[1],Unverified,-0.038461538461538464,0.1346153846153846
35,"Last summer, my grandson & friend said they saw a bee that was a good 2 inches long, in our back yard. We teased them bigtime, but now I'm thinking maybe he did. Yesterday there was a big fat bee out back, but it was about one inch",[1],Unverified,0.10833333333333332,0.1944444444444445
36,"4/07/20. We prefer not to risk going close to eat, but my husband thought it was a mouse and put a trap at first, until he saw it was a big giant bee today and left immediately. We were advised to call you.",[1],Unverified,0.0625,0.35833333333333334
37,I am not sure if this is this particular hornet but it is the biggest thing we have ever seen.   It was at our cabin in Eatonville last September.   I kept a picture because I wanted to try and find out what it was and have been unsuccessful.  It was abo,[0],Unverified,-0.02777777777777778,0.4296296296296296
38,"I don’t remember exact date but I definitely saw this hornet around late summer/early autumn. I didn’t get a photo of it unfortunately, but I am absolutely certain this is what I saw. I didn’t kill it because I unfortunately didn’t know at the ti",[1],Unverified,-0.1392857142857143,0.6535714285714286
39,I've seen two in Ephrata between 2017-2018,[0],Unverified,0.0,0.0
40,"was in my house in Spokane, WA",[0],Negative ID,0.0,0.0
41,It was a big long  wasp with golden yellow stripes. They would stick a barb from inside there abdomen into this one tree and get stuck and die. I saw about 4 get stuck in the same tree.,[1],Unverified,0.05,0.225
42,We were able to kill one of them and later saw at least 2 more that same day.,[1],Unverified,0.13999999999999999,0.32999999999999996
43,"I was in my back yard in Snohomish. A very large insect flew past me, at a distance of about 7 feet. Since it was in the air and moving rapidly I was unable to take a photo. It may not have been one of these wasps, but the size startled me.",[1],Unverified,-0.11785714285714285,0.3267857142857143
44,"Interesting that this comes up now.  About 5 years ago, I was talking to someone on the West side of Holland Library in Pullman.  I believe I saw one of these wasps getting nectar out of vine maple blossoms.  It was VERY large and was bright orange with",[0],Unverified,0.4928571428571429,0.6190476190476191
45,"100% caught one in my house last week, Everett, WA. I was shocked at the size, bigest wasp I had ever seen. Threw it outside alive.",[1],Unverified,-0.15,0.3291666666666667
46,"The following is a copy of an email that I sent to Dr. Chris Looney (CLooney@agr.wa.gov) on December 21 at 1:45 PM    Hello Dr. Looney,  I saw the article on KOMO about the Asian giant hornet that was found in Blaine. This reminded me of a similar sighti",[0],Unverified,0.0,0.375
47,"We weren’t sure what these were, but they are huge and we had never seen anything like them. We saw them in Crescent Bar by the swimming pools.",[0],Negative ID,0.45000000000000007,0.8944444444444444
48,"Hello! This 'wasp' type insect bit my husband and I last Sept.  I grew up in the PNW, am a longtime gardener and have never seen anything like this.  I don't know if this is the hornet that you are referring to but it looks very familiar.  It was huge an",[1],Negative ID,0.2958333333333334,0.5388888888888889
49,We were at flower world shopping for fruit trees and there was a hornet about three inches large up in the rafters of the far east building next to the fruit trees.  I did not take a photo as I don't usually carry phone with me but there were others ther,[1],Unverified,0.01607142857142857,0.41964285714285715
50,"This is the cicada killer, either Sphecius grandis or Sphecius convallis.",[0],Negative ID,0.0,0.0
51,I spotted two hornets on my patio umbrella. I was not able to get a picture of them,[1],Unverified,-0.25,0.625
52,Yes I saw a large bee looking bug flying around my Japanese maple yesterday Thought it was a large wasp,[1],Unverified,0.14285714285714285,0.2857142857142857
53,I didn’t capture a picture but it was absolutely massive. I’ve never seen a bee that large in WA and I’ve lived here for 29 years!,[1],Unverified,0.13392857142857142,0.7142857142857143
54,Was driving by soap lake and got hit in the head by one.,[1],Unverified,0.0,0.0
55,Biggest hornet we have ever seen. Saw two of them,[1],Unverified,0.0,0.0
56,I saw this trying to start a nest on the eve of my garage door. I hit it 3 times with a broom until it finally left. I have not seen it since then. It was 1 1/2 to 2 inches in length.,[1],Negative ID,0.0,0.0
57,I can’t find a picture but these are definitely non native hornets. I think they’re European hornets. 2018 is the first year I started seeing them. Some bee keepers store hives on our property. I might have a specimen and will send a picture if I fin,[0],Unverified,0.08333333333333333,0.27777777777777773
58,No photo.  Was large hornet with orange/yellow head,[1],Unverified,0.21428571428571427,0.42857142857142855
59,"I killed this in my back yard a couple years ago. Didn’t think anything of it until I just read your article. Not sure if it’s a Asian giant hornet, but figure I would share.",[0],Negative ID,-0.09,0.37777777777777777
60,Several huge wasps flying around our rooftop deck area. Bigger than usual as we had a nest last year to compare too.,[1],Unverified,0.030000000000000016,0.3433333333333333
61,It was the only one located and was put into a pickle jar - the hand holding the jar is an adult females hand,[0],Negative ID,0.05,0.65
62,It was very large and distinctive. I am allergic to bees so my first instinct was to get away not take a picture unfortunately. I have never seen such a large bee.,[1],Unverified,0.04857142857142857,0.5638095238095238
63,"I think I had two of these in my yard this last summer. I do not recall the exact date or time, just late summer on a weekend getting the yard ready for fall. I couldn't figure out what it was and didn't look like a mud wasp or anything I had seen before",[1],Unverified,0.037500000000000006,0.35416666666666663
64,Over the last 2 Summers I have notice a large hornet nesting in the ground where a garden was located.  They look similar to the Asian Hornet and do not seem aggressive.  These ground nest are next to a home and would prefer to have them erradicated if p,[0],Unverified,0.04285714285714286,0.17904761904761904
65,I saw similar bees to this pictures yesterday when I was outside in my yard.,[1],Unverified,0.0,0.225
66,Saw a few flying around my house at separate times. They were huge so I looked them up. . Meant to call last year but got distracted.,[1],Unverified,0.0666666666666667,0.35555555555555557
67,A giant wasp landed on my arm while I was walking on mallon street. I quickly brushed it off as it landed but I was massive with a big orange head and I remember thinking I've never seen a bee with such huge orange head.,[1],Unverified,0.06666666666666668,0.6
68,THIS DATE IS AN ESTIMATE. IT WAS TWO YEARS AGO DURING THE SUMMER. IT DEVOURED A BEE IN FRONT OF ME WHICH IS WHY I REMEMBER IT. I WAS SHOCKED BUT DIDN'T KNOW WHAT IT WAS? THEN I SAW THIS ON THE NEWS..,[0],Unverified,-0.7,0.8
69,i read the article on them about a week ago and noticed these abnormally big looking bees outside my window and made me curious because they were messing around with the small looking hives i have seen before that are usually around houses. i did not not,[1],Negative ID,-0.12,0.36
70,"I live on the Saanich Peninsula of Vancouver Island.  Last fall, roughly late September, I saw one of these in my garden and made note of it in my garden diary.  I have lived in the PNW for over 60 years and have never before come across such a remarkabl",[0],Unverified,-0.04090909090909091,0.41666666666666663
71,Seen twice last few days,[0],Unverified,-0.1,0.08333333333333334
72,Flying past us near our house. Did not find a nest. We have many wild honeybee nests all around us. Last year found a huge pile of honeybees in our pasture dead and dying on the ground. I do have pictures but will have to search for them.,[0],Unverified,0.09285714285714287,0.41666666666666663
73,"Had a hive that was starting to do its spring activity.  Yesterday, no bees anywhere.  Still lots of honey in the hive.  Could this be the Wasp?  On the county line Snohimish/Skagit on hwy 530.",[0],Unverified,0.0,0.1
74,"I saw the very large hornet ""sniffing"" around one of my potted climbing roses. I live on the 9th floor of an apartment building in Bellevue, WA. We are East facing over the 405 freeway near Bellevue City Hall. It was so large it was rather startling and",[0],Unverified,0.04584415584415584,0.4771428571428572
75,Was dead on the ground..looked like it had Larvae.  Large park across the street,[0],Negative ID,0.007142857142857131,0.41428571428571426
76,"Saw this one who spent the morning either on the dirt or flying under my house, back and fort.   My wife was alarmed and gave me the electric swatted.   I went out and zapped it a few time before it quit moving. I remember seeing a giant stinger and was",[1],Unverified,-0.07500000000000001,0.3
77,"My initial thought was, ""this looks like a huge bumblebee. It was sluggish, appx. 1.25"" long, and I moved it from patio to lawn.  I don't believe it's the Asian hornet, but would like to know if you can identify it. Is it dangerous?",[1],Negative ID,-0.049999999999999975,0.44000000000000006
78,Saw a giant hornet flying near our porch. Did not bother us but was investigating an area where we commonly have other wasps.,[1],Unverified,-0.08124999999999999,0.56875
79,"My girlfriend was digging a flower bed behind the house and one of these giant hornets came out of the dirt and flew past her, it looked like it might have been a mole tunnel that it came from.",[1],Unverified,-0.21666666666666667,0.65
80,"Sorry, we don't have a photo, but my husband and I were sitting on our deck in Sammamish and a VERY large bumble bee flew around us for several minutes. It was bigger than any we've seen before. Then on Saturday night, we had to take our dog to an emerge",[1],Unverified,-0.055357142857142855,0.5142857142857142
81,"Over an inch long. I have single-paned windows and I only noticed my window thumping because I thought it was wind. It was this bug flying into the window repeatedly. I thought the time of day was strange, along with it’s size. It was not not skinny.",[1],Negative ID,-0.03333333333333333,0.5166666666666666
82,it was bumping around my house.  (I'd left the door open). I caught it in a glass to release it and thought it was so weird looking I'd save it to show the grandkids but it was so angry I released it.  then THIS morning I saw the information identifying,[0],Unverified,-0.25,0.625
83,"Very large wasp that landed on my window ledge, see picture.  I did not know at the time to look for an orange face, I don't know what the face color was.  The window ledge is about 3 inches",[1],Negative ID,0.2785714285714286,0.5571428571428572
84,"Couldn’t get a photo. It was 0.5-1�?long and looked like a bee, not as much like a wasp, but not one I had ever seen before. It was buzzing around in a back corner of our yard close to the ground",[1],Unverified,0.1,0.1
85,"I am a geologist, was working on a geotechnical exploration in Fife and an asian giant hornet came up to inspect me and landed momentarily a few feet away. I did not realize they were invasive at the time but feel positive in my identification because I",[1],Unverified,0.0068181818181818135,0.4113636363636364
86,"Saw this beast (fo sho!!) in our sun room last summer. It flew in, I freaked and it flew out. Recognized from TV show.",[1],Unverified,0.0,0.06666666666666667
87,"I am not sure what this is, but I saw this on my living room wall one evening.  I had returned from visiting my daughter in Tx  on Feb 11, 2020,  who had been in Thailand in January.",[0],Negative ID,-0.25,0.8888888888888888
88,"I was watering my plants at the windowsill when I heard a buzzing sound and a giant wasp was flying around the window and actually bumped into it. It was hovering for about 10-15 seconds before flying away, and before I could capture a photo. I was compl",[1],Unverified,0.13333333333333333,0.5
89,"Walking in our field observed these bugs hovering around the ground, & then going into holes.  I’m not sure they’re Asian hornets, because they’re the approximate size of a honey bee.",[1],Negative ID,-0.21666666666666667,0.4962962962962963
90,I saw it on my back porch screen door. However it flew off before I was able to take a photo.,[1],Unverified,0.25,0.3125
91,Looked dead or dying. Pretty sure it was an Asian hornet. Had the reddish/orange color and was in about 1.5 inches long,[1],Unverified,0.1,0.5377777777777777
92,"I tried to report some sightings a few years ago and nobody got back to me.  I used to deliver packages for FedEx and there is a street where I saw one of these on 3 different occasions.  Don’t have a photo, but I describe as huge and dark orange.",[1],Unverified,0.010000000000000014,0.4
93,"Our AWESOME dog caught and chewed this monster hornet, so it has saliva and mud on the body. My son severed the neck - as it was writhing. I have saved it to submit if someone wants it.",[0],Negative ID,0.6,0.55
94,"Photo taken August of 2013 at Moran State Park. Massive hornet/wasp whose stinger was close to an inch long. In the photo the stinger is kind of hidden behind the wing, but the stinger extends past it a bit.",[1],Negative ID,-0.04444444444444445,0.5972222222222222
95,Was sitting still on the porch upper eaves about 4 feet from an actively yellow jacket hive being built it was the biggest bee I have ever seen with the orange color. I didn't realize what it was,[1],Unverified,0.0,0.0
96,The stinger was half as long as the body. It hovered over me as I sat there. The head looked like it had a small helmet on. Then it flew away.,[1],Unverified,-0.15555555555555556,0.32222222222222224
97,This bee is larger as a normal bee,[1],Negative ID,0.075,0.575
98,In Ephrata Washington,[0],Unverified,0.0,0.0
99,The suspected Asian hornett was 1.5 inches long and resembled the photo on your site.  I definitely was snot any of the other pictures shown.  It came into the room when I opened the sliding screen and stayed on the screen until I shooed it way.  then it,[1],Unverified,-0.04375,0.31875
100,"Not Asian Giant Hornet but large, different than I have seen in West Seattle and hard to kill, so here it is.",[0],Negative ID,-0.015476190476190482,0.514047619047619
101,"I saw this huge hornet in my backyard. I’ve never seen a hornet like that before (WA native). It was huge. I sprayed it with my hose and tried to kill it, but when I came back outside later it was gone.",[1],Unverified,0.16000000000000003,0.37
102,"This bee was at my hummingbird feeder. I wasn’t able to get a very good photo, so it might be impossible to tell.  The bee looked particularly large and reminded me of one I saw about a month ago but was unable to photograph.  It landed on my kitchen w",[1],Negative ID,0.09152380952380952,0.6667142857142857
103,"Hornet not seen, but we have a dead honeybee hive.",[0],Unverified,-0.2,0.4
104,"I heard a loud buzzing and my first thought when I saw it moving across the room was large horsefly (I didn't have my contacts in), but it was bigger than that. I followed it from my bedroom into the bathroom where it flew into the shower (I live in an R",[1],Unverified,0.14012987012987013,0.5123809523809524
105,"Size of a bumble bee, but it wasn’t so I took a closer look, alarmed by its size. I’ll try to get a photo tomorrow.",[1],Unverified,0.0,0.0
106,I was told to send this to you guys even though it was 2 years ago. I've seen about 3 since then around george and quincy area. I had no idea we werent supposed to kill them.,[0],Negative ID,0.0,0.0
107,Trapped this one,[0],Negative ID,-0.2,0.0
108,"nested in an old tree stump. while trying to remove the stump I was stung by one. it was the biggest bee I had ever seen! as long as my thumb. I had pest services in for removal/poisoning. I tried to get pictures, but they immediately retreated in deeper",[1],Unverified,0.0375,0.30000000000000004
109,It is very near the house but in the dirt.  It seemed to be looking for something in the dirt.,[1],Negative ID,0.13,0.52
110,"Possibly two individuals in Marysville, WA. One flew by and one then one was on a rhododendron (coul have been the same one as I didn't see the first one land). Went to grab my phone to take a pic but it flew away. I am very familiar with other stinging",[1],Unverified,0.12250000000000001,0.4966666666666667
111,"Hornet was seen flying near our patio, tried to grab a photo but they are quick!",[1],Unverified,0.2583333333333333,0.45
112,"Very large hornet, yellow face with black thorax and bright yellow stripes.  About 1.5 inches long. Flew back to Canada after buzzing my vehicle while I was parked.",[1],Unverified,0.108843537414966,0.31292517006802717
113,"Found this in my horses water tank near  Trinidad, Wa.",[0],Negative ID,0.1,0.4
114,"It is a little over 1 inch, and I doubt that it is an Asian Giant Hornet. However, it doesn't look enough like what I am familiar with.",[1],Negative ID,0.0375,0.5
115,"Two sightings this week, 918 38th st. BELLINGHAM, WA",[0],Unverified,0.0,0.0
116,"Larger wasp size, orange head with loud buzzing",[1],Unverified,0.05,0.65
117,"Glengary Rd, Bellingham, WA. There is a big bee nest appeared out of nowhere on top of the mail box.",[0],Negative ID,0.25,0.3
118,It was about 2 inches long and had a really big yellow face. Unfortunately I didn’t get a picture as he moved on pretty fast.,[1],Unverified,-0.016666666666666673,0.5166666666666667
119,I have seen them around my for the past couple days.,[1],Unverified,-0.25,0.25
120,Siting in Berthasen park near Lynden WA,[0],Unverified,0.1,0.4
121,Much bigger than a Yellowjacket we s aw at the same time. Around 2 inches long,[1],Negative ID,-0.016666666666666666,0.3416666666666666
122,"While looking at water fowl in a neighborhood storm overflow pond, about 4 ft away, 3 ft off the ground I briefly saw a 1-2�?“something�?fly fast and without sound along the inside of a black coated chaine link fence seperating the pond from E Warn",[0],Unverified,0.10833333333333336,0.4416666666666667
123,All black at least two inches long with visible stinger. Seen twice two years ago in same location. Single hornet chewing on wood fencing 10-14ft from Creek with dense blackberries along most of the Creek.,[0],Negative ID,-0.014682539682539686,0.345436507936508
124,"Saw a bee that looked like the picture in the Bellingham Herald. I did not notice if it had a skinny waist but it had pronounced striping on the bottom half and a vivid yellow at the head. It was at least as large as bumble bees, likely larger.r.",[1],Unverified,-0.021230158730158735,0.4575396825396825
125,Twice now I think I've seen this Asian Giant on my property.  I would like traps put on my property.,[0],Unverified,0.0,0.5
126,It was hovering by a compost.  Also one spotted by veg garden hovering by weeds.,[0],Unverified,0.0,0.0
127,Pictures don’t de justice. Face was orange and wasp was size of thumb.,[1],Negative ID,0.0,0.0
128,Found in our tent we set up in our yard. There were two and they caught our eye because they were so large. Unsure if they are so figured I would report just in case.,[0],Negative ID,0.21428571428571427,0.42857142857142855
129,"1.5-2 inches long, all black with one small yellow marking on its body. Long wings. Looks like it was trying to eat a spider. Probably not Asian wasp, due to the lack of yellow head but after it was smushed with a shoe, it had a giant opening where it�?,['inch'",[1], 'black',-0.0712962962962963,0.33425925925925926
130,"Large and wide, yellow head, black body with yellow stripes big black eyes Was sitting on one of our Adirondack chairs, wings were back and it was sitting very still.  Didn’t look like anything I had seen before, I hit it with a fly swatter and it look",[1],Negative ID,0.0780952380952381,0.2995238095238095
131,Was trimming the hedge right on Highway 20 when a half a dozen bees chased 2 large flying wasps (2 inches) from my driveway area to the end if the hedge and back again...all happened in just a few seconds...no pictures...yes I will trap for you...,[1],Unverified,0.02666666666666666,0.2461904761904762
132,"I saw what might be these pests yesterday and one today: a bunch of large, yellow-orange bee-like creatures - far too bright to be actual bumblebees and too fuzzy to be wasps - were flying around Ben Burr park in Spokane, WA (the way they float when flyi",[0],Unverified,0.25357142857142856,0.5821428571428572
133,Several large hornets have been seen on the property in the last few days,[1],Unverified,0.0035714285714285657,0.1488095238095238
134,"I'm not certain that what I saw was one of these hornets, but it seemed slightly larger than a regular wasp - we have them in the yard too, but I'm raising mason bees and this wasp/hornet in particular has been very aggressive toward our mason bees, even",[0],Unverified,0.05190476190476191,0.35633699633699634
135,set trap,[0],Negative ID,0.0,0.0
136,"hi, I was out on a walk this evening in the trail between the Beaver Lake ballpark/dog park and Beaver Lake when a very loud angry sounding wasp-like insect circled me. when it continued, I turned around and walked away and it left me alone. I spotted a",[0],Unverified,-0.12333333333333334,0.6666666666666666
137,Last couple weeks I've seen a lot of agressive large bees on my property. My address is 11012 Havenwood Road SW Port Orchard 98367,[0],Unverified,0.10714285714285714,0.2476190476190476
138,I found this dead outside of my business years ago.,[1],Negative ID,-0.1,0.225
139,Was attached to my window at work.,[0],Negative ID,0.0,0.0
140,Black face. We have it captured alive if you want it,[0],Negative ID,-0.033333333333333326,0.4166666666666667
141,When I was fire chief in Connell Washington for 3 years in a row I observed what believe to be giant asian hornet harvesting insects out of the trees in front of the fire station,[0],Unverified,0.0,0.5
142,Large aggressive hornets going into ground give in my backyard near retaining wall. Was not there last summer. Did not get picture. Did not know they could kill humans. Please advise. Thanks.,[0],Unverified,0.12857142857142856,0.2738095238095238
143,My dog ate one and threw it up in the house,[1],Negative ID,0.0,0.0
144,"Approx 2"" long was yellow and black. Did not get a good look at its head. Was much larger than the yellowjacket queens that are out and about. It perched near a yellowjacket trap we have out then bounced off the living room window a couple of times and f",[0],Unverified,0.09722222222222221,0.3888888888888889
145,Found at our front door. Curious what it is.,[1],Negative ID,-0.1,1.0
146,It came in our bedroom window which was open with the light on and it was  about 30�?above ground,[1],Unverified,0.2,0.6
147,Please advise. Can't get a good photo. I don't want to get too close.,[1],Unverified,0.7,0.6000000000000001
148,I’m not sure if this was a giant Asian hornet but it was GIANT!,[0],Negative ID,-0.0625,0.7222222222222222
149,It was in our back yard in Lacey WA,[1],Negative ID,0.0,0.0
150,I picked up a rock and it flew into my armpit and stung me.,[1],Unverified,0.0,0.0
151,"2 flyby passes observed through second story south facing window, +/- 2"" flyer",[1],Unverified,0.0,0.0
152,The ones in our location resemble huge orange looking hunny bees.,[0],Unverified,0.4000000000000001,0.9
153,was resting on a laural bush about shoulder high next to my shop.  Was going to try to catch but it started stir to leave.  There's a bench near that had a couple 2x4 blocks so I grabbed them pushed one under the leaf and clapped the hornet with the othe,[1],Unverified,0.08666666666666667,0.3133333333333333
154,I think it may be an elm sawfly but I figured I would submit to be sure. I have a few more pictures. It’s body length was greater than an inch. Looks like a hornet to me.,[1],Negative ID,0.325,0.49722222222222223
155,I had my back door open and it kept flying in. I got it out 3 times but it kept coming back. It was the largest bee I had ever seen. It kept getting close to me and my little dogs so I swatted it. When it fell I could see that is was almost as fat as my,[1],Unverified,-0.046875,0.25
156,"I killed it, but I still have it. It is 1 1/2 inches long",[0],Negative ID,-0.125,0.2
157,I am a former resident of Clinton Washington. During the last two years I was there I saw huge hornets. I do believe it's of note that unusual Hornet was spotted. If they have indeed been established that long? That could be extremely problematic to the,[0],Unverified,0.07083333333333335,0.5611111111111111
158,Seen in the Sudden Valley of Whatcom County. Only 1.,[1],Unverified,0.0,0.75
159,"I have since moved, but I observed the hornet in woodinville last summer in July or August 2019. It was exactly as described and I immediately took notice of its body length being almost 2 inches. I was the largest hornet I had ever seen and it was freak",[0],Unverified,0.125,0.15833333333333333
160,I saw on the trail/walking path near Lake Chelan River Reach,[1],Negative ID,0.1,0.4
161,"There was a large waspin my garage yesterday, and was easily the biggest one i had ever seen. It was about 2 inches long, mostly black, it was dark in my garage so i did not see much orange. We opened the door to let it out and it flew West. It could hav",[1],Unverified,0.08015873015873017,0.44920634920634916
162,I saw it crawling under the wooden stoop at my door from the covered porch. Unfortunately I didn’t have my phone with me to photograph,[1],Unverified,-0.25,0.5
163,Killed near commencement bay in tacoma.  Was NOT a native hornet.  Orange stripes but not day glo like some wasps. Enormous and frightening. Not a yellow jacket queen but slightly larger w weird eyes and distinct tiger orange stripes.  Widen your trappin,[1],Unverified,-0.1,0.5125
164,"I encountered an insect that looked just like this on Patos Island, just north of Orcas Island. It was the largest bee I have seen, aggressive, mostly black but with the orange coloring. I was really surprised because it was not a beetle, june bug and se",[1],Unverified,-0.033333333333333326,0.6666666666666667
165,Saw one this morning digging into the dubry under some bushes noticed the orange strips,[1],Unverified,0.0,0.0
166,Had very large hind legs w no hairs,[1],Unverified,0.2785714285714286,0.5571428571428572
167,Had very large hind legs w no hairs,[1],Unverified,0.2785714285714286,0.5571428571428572
168,Very large hairless legs,[0],Negative ID,0.2785714285714286,0.5571428571428572
169,This hornet came flying by us and around us when we were in our back yard swimming pool. I have More pictures and a  video of it as well if needed please send an email or call.,[0],Negative ID,0.25,0.25
170,"I saw two of these fighting (?) at the Judd Creek Loop Trail, didn't know what they were, and took a video. I've uploaded it, and hopefully you can see it. FYI, there is a high pitched frequency playing throughout the video--some weird fluke with my phon",[1],Unverified,-0.16999999999999998,0.77
171,"Seen 2, 2 inch long Hornet late summer last year in my back yard. Hovering and flying kinda slow and heavy.",[1],Unverified,-0.1416666666666667,0.3277777777777778
172,"The date is a rough estimate. I did not have a phone near me. I was standing right next to our tall hedge, so it was almost eye level. The hornet was sitting on top of the hedge. It would have fit across the back of my hand and it was so thick. I stared",[1],Unverified,0.11071428571428571,0.33883928571428573
173,Extremely large looking bee so I thought,[0],Unverified,0.21428571428571427,0.42857142857142855
174,"In a small field next to the Boeing Harbour Pointe Tech Center, I observed these giant hornets going in and out of tunnels in the ground.",[0],Unverified,-0.0875,0.375
175,"(2) discovered on property. 1st one captured, now deceased, in mason jar (still have it). 2nd one spotted today 5/2/2020, killed on sight.",[1],Negative ID,-0.1,0.0
176,Hornet was very large/2 inches long. I was gardening and noticed a perfect hole in the ground about the circumference of a pencil. I flooded the hole with water and a very large hornet came out and was struggling on the ground. Another hornet came out to,[0],Unverified,0.3571428571428571,0.5642857142857143
