num,raw,processed,status,,,,,,,,,,,,,,,,,,,,,,,,
10,An enormous bee-like insect buzzed around the window sill in my south-facing upstairs bedroom window. It was much longer than any bee or hornet/wasp I have ever seen. The sheer length of it was unlike anything I've seen before. It appeared fuzzy like a b,"['enormous', 'bee', 'like', 'insect', 'buzz', 'around', 'window', 'sill', 'south', 'face', 'upstairs', 'bedroom', 'window', 'much', 'longer', 'bee', 'hornet', 'wasp', 'ever', 'see', 'The', 'sheer', 'length', 'unlike', 'anything', 'see', 'appear', 'fuzzy', 'like']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
11,"Probably not an Asain Hornet but still a pretty mean looking one that I can't I.D. Second sighting that day, both found while cutting down dead Hemlock trees.","['Probably', 'Asain', 'Hornet', 'still', 'pretty', 'mean', 'look', 'one', 'Second', 'sight', 'day', 'find', 'cut', 'dead', 'Hemlock', 'tree']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
12,It wasn't huge but definitely  had a yellow head and yellow mid section,"['huge', 'definitely', 'yellow', 'head', 'yellow', 'mid', 'section']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
13,"Was on the garden hose. It stung (maybe just a bite but there was only one puncture hole) the palm of my hand. Approximately 1.5 inches in length, dark dark brown with thin yellow markings.","['Was', 'garden', 'hose', 'stung', 'maybe', 'bite', 'one', 'puncture', 'hole', 'palm', 'hand', 'Approximately', 'inch', 'length', 'dark', 'dark', 'brown', 'thin', 'yellow', 'marking']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
14,Digging garden area and uncovered a bee,"['Digging', 'garden', 'area', 'uncover', 'bee']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
15,"The large size caught my attention.  I took a number of photos at the time, but haven't located them other than one I sent to another person.  It is still on a text message on a phone I do not use anymore.  Just looked it up and it appears to be what you","['The', 'large', 'size', 'catch', 'attention', 'take', 'number', 'photos', 'time', 'locate', 'one', 'sent', 'another', 'person', 'still', 'text', 'message', 'phone', 'use', 'anymore', 'Just', 'look', 'appear']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
16,These wasps visited my garden daily throughout the summer. They hunted particularly on my flowering Oregano plant.  They typically were there from mid morning to early evening. I’ve seem at least 2-3 there at the same time.,"['These', 'wasp', 'visit', 'garden', 'daily', 'throughout', 'summer', 'They', 'hunt', 'particularly', 'flowering', 'Oregano', 'plant', 'They', 'typically', 'mid', 'morning', 'early', 'evening', 'seem', 'least', 'time']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
17,"Not sure if this is the target pest, but I figured we would send the picture in for examination. The head came off when we removed the pest from the cowling on an engine.","['Not', 'sure', 'target', 'pest', 'figure', 'would', 'send', 'picture', 'examination', 'The', 'head', 'come', 'remove', 'pest', 'cowl', 'engine']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
18,not sure if this is one. but in case it is. Saw it at Bayview farm and garden nursery on Whidbey Island,"['sure', 'one', 'case', 'Saw', 'Bayview', 'farm', 'garden', 'nursery', 'Whidbey', 'Island']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
19,"We've been noticing big, red hornet/wasps that live under the stone path in our backyard last summer. We didn't have an ID on them until now. No current photo unfortunately.","['notice', 'big', 'red', 'hornet', 'wasp', 'live', 'stone', 'path', 'backyard', 'last', 'summer', 'current', 'photo', 'unfortunately']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
20,"We were at Skyline divide in 2016, I got the time and date from pictures taken during the hike. I didn’t put 2 and 2 together until today, up until then I thought I just got chased by the biggest, meanest hornets in the world that day, but hey, it’s","['Skyline', 'divide', '2016', 'get', 'time', 'date', 'picture', 'take', 'hike', 'put', 'together', 'today', 'think', 'got', 'chase', 'big', 'mean', 'hornet', 'world', 'day', 'hey']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
21,"Observed flying around my porch. Hovered in place like a humming bird while facing me. I tried, but was unable to snap a photo.","['Observed', 'fly', 'around', 'porch', 'Hovered', 'place', 'like', 'hum', 'bird', 'face', 'try', 'unable', 'snap', 'photo']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
22,"I am fairly confident this is what chased me around my pasture yesterday.  It is as huge, fast, and incessant.  I even smacked it hard with my cell phone, which stunned it, then it came back at me.  I was out checking my raspberry rows.  It didn’t stop","['fairly', 'confident', 'chase', 'around', 'pasture', 'yesterday', 'huge', 'fast', 'incessant', 'even', 'smack', 'hard', 'cell', 'phone', 'stun', 'come', 'back', 'check', 'raspberry', 'row', 'stop']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
23,"Unknown if this is our invasive species, but its a growing colony right above the sidewalk on the concrete support wall for the Highway 99 overpass over Cloverdale, on the northwest corner.  Definitely a hazard to pedestrians regardless of species.  Didn","['Unknown', 'invasive', 'specie', 'grow', 'colony', 'right', 'sidewalk', 'concrete', 'support', 'wall', 'Highway', 'overpass', 'Cloverdale', 'northwest', 'corner', 'Definitely', 'hazard', 'pedestrian', 'regardless', 'specie', 'Didn']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
24,It stung me through a paper towel,"['stung', 'paper', 'towel']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
25,We live on the coast and are familiar with the bees and wasps in our area. We are outside most of the day until night. We kept remarking about a strange huge bee buzzing around that was orange and we’ve never seen before. I have no picture but will try,"['live', 'coast', 'familiar', 'bee', 'wasps', 'area', 'outside', 'day', 'night', 'keep', 'remark', 'strange', 'huge', 'bee', 'buzz', 'around', 'orange', 'never', 'see', 'picture', 'try']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
26,Not sure but this this was huge and never seen it before around my pond,"['Not', 'sure', 'huge', 'never', 'see', 'around', 'pond']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
27,"I live in Newcastle, WA and found a dead one on my front porch. I will leave it there if you want to confirm","['live', 'Newcastle', 'find', 'dead', 'one', 'front', 'porch', 'leave', 'want', 'confirm']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
28,"Saw this big bee on my back deck, tried to look it up but I couldn't find a match.  Very large and in my entire life I have not seen one like this in Washington state. Thank you.","['Saw', 'big', 'bee', 'back', 'deck', 'try', 'look', 'find', 'match', 'Very', 'large', 'entire', 'life', 'see', 'one', 'like', 'Washington', 'state', 'Thank']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
29,"My husband and I were walking in the Orting Trail between Sumner, Puyallup and Orting when an insect buzzed past my head. It was larger than bees or flies I had seen before. I joked that “whatever it was it just darkened the sky for a bit�? I was jok","['husband', 'walk', 'Orting', 'Trail', 'Sumner', 'Puyallup', 'Orting', 'insect', 'buzz', 'past', 'head', 'large', 'bee', 'fly', 'see', 'joke', 'whatever', 'darkened', 'sky', 'bit', 'jok']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
30,Orondo State Park - near the apple orchards.,"['Orondo', 'State', 'Park', 'near', 'apple', 'orchard']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
31,I had arrived at the Ephrata gun ranger's 25 yd handgun bay. While I was offloading my gear and equipment I noticed a large orange headed beeline wasp flying around my vehicle. It lingered around my vehicle and myself. Realizing it could be the Asian hor,"['arrive', 'Ephrata', 'gun', 'ranger', 'handgun', 'bay', 'While', 'offload', 'gear', 'equipment', 'notice', 'large', 'orange', 'head', 'beeline', 'wasp', 'fly', 'around', 'vehicle', 'linger', 'around', 'vehicle', 'Realizing', 'could', 'Asian', 'hor']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
32,It was a very large orange hornet about 2 inches. We were sitting down grilling under a tree near John Day dam when a large orange hornet fell onto the ground trying to fly bit it couldn't. I killed it in fear for my young children running around. It was,"['large', 'orange', 'hornet', 'inch', 'sit', 'grill', 'tree', 'near', 'John', 'Day', 'dam', 'large', 'orange', 'hornet', 'fell', 'onto', 'ground', 'try', 'fly', 'bit', 'kill', 'fear', 'young', 'child', 'run', 'around']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
33,"2 of these things were landing in front of my house, and went into burrows into loose dirt in front of the house.  They were about 1.5 to 2�?long with orange/yellow heads.  I squashed them both, and flattened out the mount of dirt next to burrow.  I ju","['thing', 'land', 'front', 'house', 'go', 'burrow', 'loose', 'dirt', 'front', 'house', 'They', 'long', 'orange', 'yellow', 'head', 'squash', 'flattened', 'mount', 'dirt', 'next', 'burrow']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
34,"Last summer, my grandson & friend said they saw a bee that was a good 2 inches long, in our back yard. We teased them bigtime, but now I'm thinking maybe he did. Yesterday there was a big fat bee out back, but it was about one inch","['Last', 'summer', 'grandson', 'friend', 'say', 'saw', 'bee', 'good', 'inch', 'long', 'back', 'yard', 'tease', 'bigtime', 'think', 'maybe', 'Yesterday', 'big', 'fat', 'bee', 'back', 'one', 'inch']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
35,"4/07/20. We prefer not to risk going close to eat, but my husband thought it was a mouse and put a trap at first, until he saw it was a big giant bee today and left immediately. We were advised to call you.","['prefer', 'risk', 'go', 'close', 'eat', 'husband', 'think', 'mouse', 'put', 'trap', 'first', 'saw', 'big', 'giant', 'bee', 'today', 'leave', 'immediately', 'advise', 'call']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
36,I am not sure if this is this particular hornet but it is the biggest thing we have ever seen.   It was at our cabin in Eatonville last September.   I kept a picture because I wanted to try and find out what it was and have been unsuccessful.  It was abo,"['sure', 'particular', 'hornet', 'big', 'thing', 'ever', 'see', 'cabin', 'Eatonville', 'last', 'September', 'keep', 'picture', 'want', 'try', 'find', 'unsuccessful', 'abo']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
37,"I don’t remember exact date but I definitely saw this hornet around late summer/early autumn. I didn’t get a photo of it unfortunately, but I am absolutely certain this is what I saw. I didn’t kill it because I unfortunately didn’t know at the ti","['remember', 'exact', 'date', 'definitely', 'saw', 'hornet', 'around', 'late', 'summer', 'early', 'autumn', 'get', 'photo', 'unfortunately', 'absolutely', 'certain', 'saw', 'kill', 'unfortunately', 'know']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
38,I've seen two in Ephrata between 2017-2018,"['see', 'two', 'Ephrata', '2017', '2018']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
39,"was in my house in Spokane, WA","['house', 'Spokane']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
40,It was a big long  wasp with golden yellow stripes. They would stick a barb from inside there abdomen into this one tree and get stuck and die. I saw about 4 get stuck in the same tree.,"['big', 'long', 'wasp', 'golden', 'yellow', 'stripe', 'They', 'would', 'stick', 'barb', 'inside', 'abdomen', 'one', 'tree', 'get', 'stick', 'die', 'saw', 'get', 'stuck', 'tree']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
41,We were able to kill one of them and later saw at least 2 more that same day.,"['able', 'kill', 'one', 'late', 'saw', 'least', 'day']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
42,"I was in my back yard in Snohomish. A very large insect flew past me, at a distance of about 7 feet. Since it was in the air and moving rapidly I was unable to take a photo. It may not have been one of these wasps, but the size startled me.","['back', 'yard', 'Snohomish', 'large', 'insect', 'fly', 'past', 'distance', 'foot', 'Since', 'air', 'move', 'rapidly', 'unable', 'take', 'photo', 'may', 'one', 'wasp', 'size', 'startle']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
43,"Interesting that this comes up now.  About 5 years ago, I was talking to someone on the West side of Holland Library in Pullman.  I believe I saw one of these wasps getting nectar out of vine maple blossoms.  It was VERY large and was bright orange with","['Interesting', 'come', 'About', 'year', 'ago', 'talk', 'someone', 'West', 'side', 'Holland', 'Library', 'Pullman', 'believe', 'saw', 'one', 'wasp', 'get', 'nectar', 'vine', 'maple', 'blossom', 'VERY', 'large', 'bright', 'orange']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
44,"100% caught one in my house last week, Everett, WA. I was shocked at the size, bigest wasp I had ever seen. Threw it outside alive.","['100', 'catch', 'one', 'house', 'last', 'week', 'Everett', 'shock', 'size', 'bigest', 'wasp', 'ever', 'see', 'Threw', 'outside', 'alive']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
45,"The following is a copy of an email that I sent to Dr. Chris Looney (CLooney@agr.wa.gov) on December 21 at 1:45 PM    Hello Dr. Looney,  I saw the article on KOMO about the Asian giant hornet that was found in Blaine. This reminded me of a similar sighti","['The', 'following', 'copy', 'email', 'sent', 'Chris', 'Looney', 'CLooney', 'agr', 'gov', 'December', 'Hello', 'Looney', 'saw', 'article', 'KOMO', 'Asian', 'giant', 'hornet', 'find', 'Blaine', 'This', 'remind', 'similar', 'sighti']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
46,"We weren’t sure what these were, but they are huge and we had never seen anything like them. We saw them in Crescent Bar by the swimming pools.","['sure', 'huge', 'never', 'see', 'anything', 'like', 'saw', 'Crescent', 'Bar', 'swimming', 'pool']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
47,"Hello! This 'wasp' type insect bit my husband and I last Sept.  I grew up in the PNW, am a longtime gardener and have never seen anything like this.  I don't know if this is the hornet that you are referring to but it looks very familiar.  It was huge an","['Hello', 'This', 'wasp', 'type', 'insect', 'bit', 'husband', 'last', 'Sept', 'grow', 'PNW', 'longtime', 'gardener', 'never', 'see', 'anything', 'like', 'know', 'hornet', 'refer', 'look', 'familiar', 'huge']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
48,We were at flower world shopping for fruit trees and there was a hornet about three inches large up in the rafters of the far east building next to the fruit trees.  I did not take a photo as I don't usually carry phone with me but there were others ther,"['flower', 'world', 'shop', 'fruit', 'tree', 'hornet', 'three', 'inch', 'large', 'rafter', 'far', 'east', 'build', 'next', 'fruit', 'tree', 'take', 'photo', 'usually', 'carry', 'phone', 'others', 'ther']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
49,"This is the cicada killer, either Sphecius grandis or Sphecius convallis.","['This', 'cicada', 'killer', 'either', 'Sphecius', 'grandis', 'Sphecius', 'convallis']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
50,I spotted two hornets on my patio umbrella. I was not able to get a picture of them,"['spot', 'two', 'hornet', 'patio', 'umbrella', 'able', 'get', 'picture']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
51,Yes I saw a large bee looking bug flying around my Japanese maple yesterday Thought it was a large wasp,"['Yes', 'saw', 'large', 'bee', 'look', 'bug', 'fly', 'around', 'Japanese', 'maple', 'yesterday', 'Thought', 'large', 'wasp']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
52,I didn’t capture a picture but it was absolutely massive. I’ve never seen a bee that large in WA and I’ve lived here for 29 years!,"['capture', 'picture', 'absolutely', 'massive', 'never', 'see', 'bee', 'large', 'live', 'year']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
53,Was driving by soap lake and got hit in the head by one.,"['Was', 'drive', 'soap', 'lake', 'get', 'hit', 'head', 'one']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
54,Biggest hornet we have ever seen. Saw two of them,"['Biggest', 'hornet', 'ever', 'see', 'Saw', 'two']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
55,I saw this trying to start a nest on the eve of my garage door. I hit it 3 times with a broom until it finally left. I have not seen it since then. It was 1 1/2 to 2 inches in length.,"['saw', 'try', 'start', 'nest', 'eve', 'garage', 'door', 'hit', 'time', 'broom', 'finally', 'leave', 'see', 'since', 'inch', 'length']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
56,I can’t find a picture but these are definitely non native hornets. I think they’re European hornets. 2018 is the first year I started seeing them. Some bee keepers store hives on our property. I might have a specimen and will send a picture if I fin,"['find', 'picture', 'definitely', 'non', 'native', 'hornet', 'think', 'European', 'hornet', '2018', 'first', 'year', 'start', 'see', 'Some', 'bee', 'keeper', 'store', 'hive', 'property', 'might', 'specimen', 'send', 'picture', 'fin']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
57,No photo.  Was large hornet with orange/yellow head,"['photo', 'Was', 'large', 'hornet', 'orange', 'yellow', 'head']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
58,"I killed this in my back yard a couple years ago. Didn’t think anything of it until I just read your article. Not sure if it’s a Asian giant hornet, but figure I would share.","['kill', 'back', 'yard', 'couple', 'year', 'ago', 'Didn', 'think', 'anything', 'read', 'article', 'Not', 'sure', 'Asian', 'giant', 'hornet', 'figure', 'would', 'share']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
59,Several huge wasps flying around our rooftop deck area. Bigger than usual as we had a nest last year to compare too.,"['Several', 'huge', 'wasp', 'fly', 'around', 'rooftop', 'deck', 'area', 'Bigger', 'usual', 'nest', 'last', 'year', 'compare']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
60,It was the only one located and was put into a pickle jar - the hand holding the jar is an adult females hand,"['one', 'locate', 'put', 'pickle', 'jar', 'hand', 'hold', 'jar', 'adult', 'female', 'hand']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
61,It was very large and distinctive. I am allergic to bees so my first instinct was to get away not take a picture unfortunately. I have never seen such a large bee.,"['large', 'distinctive', 'allergic', 'bee', 'first', 'instinct', 'get', 'away', 'take', 'picture', 'unfortunately', 'never', 'see', 'large', 'bee']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
62,"I think I had two of these in my yard this last summer. I do not recall the exact date or time, just late summer on a weekend getting the yard ready for fall. I couldn't figure out what it was and didn't look like a mud wasp or anything I had seen before","['think', 'two', 'yard', 'last', 'summer', 'recall', 'exact', 'date', 'time', 'late', 'summer', 'weekend', 'get', 'yard', 'ready', 'fall', 'figure', 'look', 'like', 'mud', 'wasp', 'anything', 'see']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
63,Over the last 2 Summers I have notice a large hornet nesting in the ground where a garden was located.  They look similar to the Asian Hornet and do not seem aggressive.  These ground nest are next to a home and would prefer to have them erradicated if p,"['Over', 'last', 'Summers', 'notice', 'large', 'hornet', 'nest', 'ground', 'garden', 'locate', 'They', 'look', 'similar', 'Asian', 'Hornet', 'seem', 'aggressive', 'These', 'ground', 'nest', 'next', 'home', 'would', 'prefer', 'erradicated']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
64,I saw similar bees to this pictures yesterday when I was outside in my yard.,"['saw', 'similar', 'bee', 'picture', 'yesterday', 'outside', 'yard']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
65,Saw a few flying around my house at separate times. They were huge so I looked them up. . Meant to call last year but got distracted.,"['Saw', 'fly', 'around', 'house', 'separate', 'time', 'They', 'huge', 'look', 'Meant', 'call', 'last', 'year', 'get', 'distracted']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
66,A giant wasp landed on my arm while I was walking on mallon street. I quickly brushed it off as it landed but I was massive with a big orange head and I remember thinking I've never seen a bee with such huge orange head.,"['giant', 'wasp', 'land', 'arm', 'walking', 'mallon', 'street', 'quickly', 'brush', 'landed', 'massive', 'big', 'orange', 'head', 'remember', 'think', 'never', 'see', 'bee', 'huge', 'orange', 'head']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
67,THIS DATE IS AN ESTIMATE. IT WAS TWO YEARS AGO DURING THE SUMMER. IT DEVOURED A BEE IN FRONT OF ME WHICH IS WHY I REMEMBER IT. I WAS SHOCKED BUT DIDN'T KNOW WHAT IT WAS? THEN I SAW THIS ON THE NEWS..,"['THIS', 'DATE', 'ESTIMATE', 'WAS', 'TWO', 'YEARS', 'AGO', 'DURING', 'THE', 'SUMMER', 'DEVOURED', 'BEE', 'FRONT', 'WHICH', 'WHY', 'REMEMBER', 'WAS', 'SHOCKED', 'BUT', 'DIDN', 'KNOW', 'WHAT', 'WAS', 'THEN', 'SAW', 'THIS', 'THE', 'NEWS']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
68,i read the article on them about a week ago and noticed these abnormally big looking bees outside my window and made me curious because they were messing around with the small looking hives i have seen before that are usually around houses. i did not not,"['read', 'article', 'week', 'ago', 'notice', 'abnormally', 'big', 'look', 'bee', 'outside', 'window', 'make', 'curious', 'mess', 'around', 'small', 'look', 'hive', 'see', 'usually', 'around', 'house']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
69,"I live on the Saanich Peninsula of Vancouver Island.  Last fall, roughly late September, I saw one of these in my garden and made note of it in my garden diary.  I have lived in the PNW for over 60 years and have never before come across such a remarkabl","['live', 'Saanich', 'Peninsula', 'Vancouver', 'Island', 'Last', 'fall', 'roughly', 'late', 'September', 'saw', 'one', 'garden', 'make', 'note', 'garden', 'diary', 'live', 'PNW', 'year', 'never', 'come', 'across', 'remarkabl']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
70,Seen twice last few days,"['Seen', 'twice', 'last', 'day']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
71,Flying past us near our house. Did not find a nest. We have many wild honeybee nests all around us. Last year found a huge pile of honeybees in our pasture dead and dying on the ground. I do have pictures but will have to search for them.,"['Flying', 'past', 'near', 'house', 'Did', 'find', 'nest', 'many', 'wild', 'honeybee', 'nest', 'around', 'Last', 'year', 'find', 'huge', 'pile', 'honeybee', 'pasture', 'dead', 'die', 'ground', 'picture', 'search']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
72,"Had a hive that was starting to do its spring activity.  Yesterday, no bees anywhere.  Still lots of honey in the hive.  Could this be the Wasp?  On the county line Snohimish/Skagit on hwy 530.","['Had', 'hive', 'start', 'spring', 'activity', 'Yesterday', 'bee', 'anywhere', 'Still', 'lots', 'honey', 'hive', 'Could', 'Wasp', 'county', 'line', 'Snohimish', 'Skagit', 'hwy', '530']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
73,"I saw the very large hornet ""sniffing"" around one of my potted climbing roses. I live on the 9th floor of an apartment building in Bellevue, WA. We are East facing over the 405 freeway near Bellevue City Hall. It was so large it was rather startling and","['saw', 'large', 'hornet', 'sniff', 'around', 'one', 'pot', 'climb', 'rose', 'live', '9th', 'floor', 'apartment', 'build', 'Bellevue', 'East', 'face', '405', 'freeway', 'near', 'Bellevue', 'City', 'Hall', 'large', 'rather', 'startle']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
74,Was dead on the ground..looked like it had Larvae.  Large park across the street,"['Was', 'dead', 'ground', 'look', 'like', 'Larvae', 'Large', 'park', 'across', 'street']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
75,"Saw this one who spent the morning either on the dirt or flying under my house, back and fort.   My wife was alarmed and gave me the electric swatted.   I went out and zapped it a few time before it quit moving. I remember seeing a giant stinger and was","['Saw', 'one', 'spent', 'morning', 'either', 'dirt', 'fly', 'house', 'back', 'fort', 'wife', 'alarm', 'give', 'electric', 'swatted', 'go', 'zapped', 'time', 'quit', 'move', 'remember', 'see', 'giant', 'stinger']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
76,"My initial thought was, ""this looks like a huge bumblebee. It was sluggish, appx. 1.25"" long, and I moved it from patio to lawn.  I don't believe it's the Asian hornet, but would like to know if you can identify it. Is it dangerous?","['initial', 'think', 'look', 'like', 'huge', 'bumblebee', 'sluggish', 'appx', 'long', 'move', 'patio', 'lawn', 'believe', 'Asian', 'hornet', 'would', 'like', 'know', 'identify', 'dangerous']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
77,Saw a giant hornet flying near our porch. Did not bother us but was investigating an area where we commonly have other wasps.,"['Saw', 'giant', 'hornet', 'fly', 'near', 'porch', 'Did', 'bother', 'investigate', 'area', 'commonly', 'wasps']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
78,"My girlfriend was digging a flower bed behind the house and one of these giant hornets came out of the dirt and flew past her, it looked like it might have been a mole tunnel that it came from.","['girlfriend', 'dig', 'flower', 'bed', 'behind', 'house', 'one', 'giant', 'hornet', 'come', 'dirt', 'fly', 'past', 'looked', 'like', 'might', 'mole', 'tunnel', 'come']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
79,"Sorry, we don't have a photo, but my husband and I were sitting on our deck in Sammamish and a VERY large bumble bee flew around us for several minutes. It was bigger than any we've seen before. Then on Saturday night, we had to take our dog to an emerge","['Sorry', 'photo', 'husband', 'sit', 'deck', 'Sammamish', 'VERY', 'large', 'bumble', 'bee', 'fly', 'around', 'several', 'minute', 'big', 'see', 'Then', 'Saturday', 'night', 'take', 'dog', 'emerge']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
